organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,3.00,6.00,39.4,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,9.00,12.00,31.7,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,21.00,24.00,33.0,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,24.00,27.00,30.9,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,48.00,51.00,28.0,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,54.00,57.00,28.1,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Crypturellus obsoletus,,,57.00,60.00,28.7,f,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Myiarchus cinerascens,Ash-throated Flycatcher,ATFL,57.00,60.00,25.6,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,60.00,63.00,29.2,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Catharus ustulatus,Swainson's Thrush,SWTH,72.00,75.00,32.2,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Cyanocitta cristata,Blue Jay,BLJA,105.00,108.00,25.9,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Chrysocolaptes guttacristatus,,,105.00,108.00,25.3,f,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Buteo platypterus,Broad-winged Hawk,BWHA,108.00,111.00,66.6,t,lite
BU,ELE-1-1,307109,Elevation Gradients,1109,2022-06-28 04:54:00,367287,180,Ixoreus naevius,Varied Thrush,VATH,108.00,111.00,37.6,t,lite
