organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 05:07:00,367286,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.75,-28.63,4,0.043767,0.00592,0.083374,-21.58,-29.7,-33.7,2,0.025259,-0.006165,0.056122,-25.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=352221,ELE-2-6_20220523_050700.wav,660
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 05:07:00,367286,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.75,-28.63,4,0.043767,0.00592,0.083374,-21.58,-29.7,-33.7,2,0.025259,-0.006165,0.056122,-25.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=352206,ELE-2-6_20220523_050700.wav,37
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 05:07:00,367286,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.75,-28.63,4,0.043767,0.00592,0.083374,-21.58,-29.7,-33.7,2,0.025259,-0.006165,0.056122,-25.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343953,ELE-2-6_20220523_050700.wav,15
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 05:07:00,367286,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.75,-28.63,4,0.043767,0.00592,0.083374,-21.58,-29.7,-33.7,2,0.025259,-0.006165,0.056122,-25.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=352216,ELE-2-6_20220523_050700.wav,1242
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 05:07:00,367286,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.75,-28.63,4,0.043767,0.00592,0.083374,-21.58,-29.7,-33.7,2,0.025259,-0.006165,0.056122,-25.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=352211,ELE-2-6_20220523_050700.wav,532
BU,Elevation Gradients,1109,ELE-2-4,238147,,2022-05-23 06:07:00,367259,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-33.62,-56.57,2,-0.001216,-0.057312,0.032562,-24.84,-25.46,-34.75,2,0.033229,-0.024811,0.074585,-22.55,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343926,ELE-2-4_20220523_060700.wav,37
BU,Elevation Gradients,1109,ELE-2-5,238145,,2022-05-23 06:07:00,367263,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-29.21,-35.59,3,0.023363,-0.011841,0.057617,-24.79,-28.21,-33.85,2,0.027664,-0.014526,0.064453,-23.82,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343930,ELE-2-5_20220523_060700.wav,37
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-23 21:43:00,367301,180s 1SPT,Transcribed,4km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-25.85,-28.6,2,0.043775,0.02356,0.062988,-24.01,-30.99,-32.84,2,0.025258,0.012085,0.040039,-27.95,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343968,ELE-2-6_20220523_214300.wav,532
BU,Elevation Gradients,1109,ELE-2-1,238150,,2022-05-23 22:35:00,367251,180s 1SPT,Transcribed,1km,-2.50,19.50,8.50,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,33km,,,,,,,,,,,,,,,,-20.03,-29.77,2,0.02899,-0.205658,0.277924,-11.12,-19.34,-29.72,2,0.019922,-0.240021,0.293365,-10.65,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343918,ELE-2-1_20220523_223500.wav,37
BU,Elevation Gradients,1109,ELE-2-6,238146,,2022-05-24 05:36:00,367238,180s 1SPT,Transcribed,4km,0.00,18.00,9.00,0.00,0.00,0.00,0.00,WILLOW CREEK 1,1370.00m,34km,,,,,,,,,,,,,,,,-26.05,-28.16,2,0.043754,0.01236,0.071381,-22.93,-30.59,-33.14,2,0.02523,0.003082,0.044708,-26.99,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343905,ELE-2-6_20220524_053600.wav,532
