organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,0.60,180.00,1.69,1.07kHz,5.46kHz,2757314,1,Song,1,3,t,2,Christopher Moser-Purdy,37,37,-37.91,-41.11,2,0.009315,-0.008148,0.02829,-30.97,-61.08,-64.99,2,-0.000001,-0.007782,0.003174,-42.18,-29.82,-31.12,2,0.029431,0.01178,0.048218,-26.34,-62.22,-68.4,2,-0.000002,-0.014435,0.003326,-36.81,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/60be378249e648a6b5a19541d02eae48.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/60be378249e648a6b5a19541d02eae48.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,3.05,180.00,1.90,2.75kHz,5.46kHz,2757315,1,Song,1,1,t,2,Christopher Moser-Purdy,37,1247,-38.14,-40.5,2,0.009314,-0.010681,0.028168,-31,-57.12,-73.02,2,0,-0.004425,0.004608,-46.73,-29.95,-30.94,2,0.029432,0.006012,0.049103,-26.18,-54.35,-73.45,2,0,-0.007416,0.00647,-42.6,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/b5faf8544d0948e2adb693ec5fda719d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/b5faf8544d0948e2adb693ec5fda719d.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,3.29,180.00,2.38,1.07kHz,8.36kHz,2757313,2,Song,1,4,t,2,Christopher Moser-Purdy,37,37,-38.14,-40.8,2,0.009307,-0.010681,0.028168,-31,-53.66,-64.09,2,-0.000001,-0.007782,0.006714,-42.18,-29.95,-30.94,2,0.029421,0.006012,0.049103,-26.18,-51.36,-67.36,2,-0.000001,-0.019226,0.009705,-34.32,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/6bf2e67c26244a819b667daa6be232cb.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/6bf2e67c26244a819b667daa6be232cb.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,5.19,180.00,1.80,0.70kHz,5.56kHz,2757316,3,Song,1,1,t,2,Christopher Moser-Purdy,37,37,-38.23,-40.81,2,0.009309,-0.008606,0.024902,-32.08,-58.01,-60.37,2,-0.000001,-0.009094,0.004364,-40.82,-30.02,-30.95,2,0.029422,0.012512,0.045959,-26.75,-61.28,-65.6,2,-0.000002,-0.014404,0.002594,-36.83,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/f4a7e729bbff46b79e2216bc549bc96f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/f4a7e729bbff46b79e2216bc549bc96f.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,12.21,180.00,1.69,1.49kHz,5.18kHz,2757317,4,Song,1,1,t,2,Christopher Moser-Purdy,37,37,-37.46,-40.19,2,0.009307,-0.012085,0.033234,-29.57,-67,-69.15,2,-0.000001,-0.005707,0.003052,-44.87,-29.72,-31,3,0.02937,0.01239,0.052917,-25.53,-63.46,-69.66,2,-0.000001,-0.013275,0.003967,-37.54,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/1eaa7e7477294860928c00b6c044b465.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/1eaa7e7477294860928c00b6c044b465.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,33.16,180.00,1.69,1.54kHz,7.84kHz,2757318,1,Call,1,3,t,1,Christopher Moser-Purdy,37,1247,-38.28,-41.19,2,0.009292,-0.008575,0.026337,-31.59,-56.81,-67.9,2,-0.000001,-0.006683,0.006256,-43.5,-29.98,-31.08,2,0.029468,0.010529,0.045105,-26.92,-57.71,-68.45,2,-0.000001,-0.014282,0.006042,-36.9,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/8d54dd8ccfed4dd5af000fc65ea7f671.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/8d54dd8ccfed4dd5af000fc65ea7f671.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,52.65,180.00,1.76,1.21kHz,4.20kHz,2757319,2,Song,1,3,t,2,Christopher Moser-Purdy,37,1247,-37.82,-41.08,2,0.009213,-0.011627,0.028595,-30.87,-64.46,-67.21,2,0,-0.003326,0.002289,-49.56,-29.82,-31.12,2,0.029386,0.009918,0.04837,-26.31,-63.5,-70.09,2,-0.000001,-0.011597,0.003723,-38.71,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/6da4ad9e3fa54b3ab9a9639dfb59032d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/6da4ad9e3fa54b3ab9a9639dfb59032d.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-06-28 04:54:00,367287,1SPT,343954,Transcribed,VATH,Varied Thrush,IXOREUS NAEVIUS,Aves,104.35,180.00,1.31,1.49kHz,7.05kHz,2757320,1,Song,1,3,t,2,Christopher Moser-Purdy,37,37,-37.07,-40.46,2,0.009275,-0.01358,0.035553,-28.98,-48.32,-66.18,2,0,-0.010864,0.013153,-37.62,-29.71,-31.41,2,0.029496,0.008209,0.057007,-24.88,-48.98,-67.06,2,-0.000001,-0.014069,0.011871,-37.03,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343954,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/36dacf64bda7440a8e30c1910a595b92.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/91fb2851-8d36-45e7-9cee-bfbba83210c7/36dacf64bda7440a8e30c1910a595b92.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,0.01,180.00,1.48,1.63kHz,3.88kHz,2752533,1,Song,1,3,t,1,Alana Demko,532,1247,-37.08,-41.02,2,0.009277,-0.014404,0.037933,-28.42,-56.01,-65.15,2,0,-0.006073,0.005646,-44.33,-29.8,-31.18,2,0.029548,0.010864,0.048462,-26.29,-58.8,-66.8,2,-0.000001,-0.00882,0.007721,-41.09,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/1fd873f5e54942239d437a2c12a87ca4.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/1fd873f5e54942239d437a2c12a87ca4.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,1.79,180.00,2.28,3.36kHz,6.02kHz,2752534,1,Song,1,2,t,1,Alana Demko,532,1247,-36.94,-41.42,2,0.009234,-0.017212,0.029694,-30.55,-61.68,-71.77,2,0,-0.004364,0.004364,-47.2,-29.42,-31.38,2,0.029458,0.007935,0.05014,-26,-61.38,-71.24,2,0,-0.006042,0.004517,-44.38,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/97878d3f0bdb406da9c91b605920e0d4.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/97878d3f0bdb406da9c91b605920e0d4.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,3.46,180.00,1.80,1.26kHz,7.70kHz,2752532,1,Song,1,3,t,2,Alana Demko,532,37,-37.31,-41.73,2,0.009216,-0.011292,0.031494,-30.04,-49.14,-59.71,2,0,-0.009766,0.010742,-39.38,-29.6,-31.49,2,0.029457,0.009979,0.049774,-26.06,-48.86,-60.47,2,-0.000001,-0.014221,0.010437,-36.94,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/27abab5119284f37b66537d9d7bdb2be.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/27abab5119284f37b66537d9d7bdb2be.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,VATH,Varied Thrush,IXOREUS NAEVIUS,Aves,4.80,180.00,1.05,1.91kHz,3.64kHz,2752535,1,Song,1,2,t,2,Alana Demko,532,37,-38.11,-41.06,2,0.009312,-0.009399,0.032227,-29.84,-60.88,-64.37,2,0,-0.00705,0.006195,-43.04,-29.91,-31.12,2,0.029562,0.003448,0.054932,-25.2,-56.31,-65.58,2,-0.000001,-0.00705,0.004761,-43.04,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/7a03e54bfe0243908ec365471855fc03.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/7a03e54bfe0243908ec365471855fc03.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,Aves,5.96,180.00,2.39,6.44kHz,9.43kHz,2752536,1,Song,1,2,t,1,Alana Demko,532,37,-36.88,-41.53,2,0.00921,-0.019501,0.033112,-29.6,-60.6,-72.73,2,0,-0.008392,0.00827,-41.52,-29.3,-31.4,2,0.029436,0.011444,0.051666,-25.74,-66.25,-73.39,2,0,-0.00412,0.003357,-47.7,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/120762f0f5524cd0b63b62494ba45653.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/120762f0f5524cd0b63b62494ba45653.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,Aves,9.98,180.00,4.05,3.97kHz,6.91kHz,2752537,1,Song,1,1,t,2,Alana Demko,532,1247,-34.88,-41.54,2,0.009279,-0.021759,0.039856,-27.99,-60.29,-69.99,2,0,-0.007568,0.007355,-42.42,-28.32,-31.91,2,0.029547,-0.009918,0.058441,-24.67,-57.36,-69.82,2,0,-0.013031,0.013885,-37.15,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/20ed683e4edc45b5886ca13d2f360fe5.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/20ed683e4edc45b5886ca13d2f360fe5.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,Aves,23.20,180.00,1.45,2.94kHz,7.24kHz,2752538,1,Song,1,3,t,1,Alana Demko,532,37,-36.82,-40.49,2,0.009235,-0.020386,0.03714,-28.6,-50.05,-65.38,2,0,-0.008057,0.008362,-41.55,-29.73,-31.18,2,0.029501,0.00354,0.05722,-24.85,-52.76,-65.07,2,-0.000001,-0.011841,0.008026,-38.53,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/64813be5634f41b894b718f81ce8b966.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/64813be5634f41b894b718f81ce8b966.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-01 21:07:00,367235,1SPT,343902,Transcribed,VATH,Varied Thrush,IXOREUS NAEVIUS,Aves,27.46,180.00,1.28,2.57kHz,4.25kHz,2752539,2,Song,1,4,t,2,Alana Demko,532,37,-35.52,-38.93,2,0.009277,-0.032166,0.055511,-25.11,-38.56,-63.56,2,0,-0.023743,0.023376,-32.49,-29.17,-31.09,2,0.029431,-0.006317,0.066376,-23.56,-37.78,-63.18,3,0,-0.025513,0.025452,-31.86,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343902,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/24f4f31761294f2aaac2dbf2e50e8390.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/8576dc13-f26d-403a-8a44-b628a2a4d885/24f4f31761294f2aaac2dbf2e50e8390.mp3
BU,Elevation Gradients,1109,ELE-1-1,307109,2022-07-02 22:06:00,367268,1SPT,343935,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,0.05,180.00,0.94,1.31kHz,5.74kHz,2752528,1,Song,1,2,t,2,Alana Demko,532,37,-38.74,-40.76,2,0.009158,-0.006744,0.023224,-32.68,-66.87,-68.29,2,-0.000001,-0.004303,0.002045,-47.32,-30.11,-30.93,2,0.029438,0.013184,0.042053,-27.52,-64.49,-70.53,2,-0.000002,-0.012482,0.003632,-38.07,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=343935,https://wildtrax-aru.s3.us-west-2.amazonaws.com/562bc2dc-dee0-4234-9e96-ce8b806b4797/a640bd677f1a406b91828644cd72a0f5.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/562bc2dc-dee0-4234-9e96-ce8b806b4797/a640bd677f1a406b91828644cd72a0f5.mp3
