locatin,year,landCover_2016,landCover_2019
WLNP-1-1,2018,210,210
WLNP-1-2,2018,210,210
WLNP-1-3,2018,210,210
WLNP-2-1,2018,210,100
WLNP-2-2,2018,210,50
WLNP-2-3,2018,210,33
WLNP-2-4,2018,210,33
WLNP-2-5,2018,210,210
WLNP-2-6,2018,210,50
WLNP-3-1,2018,50,50
WLNP-4-1,2018,50,50
WLNP-4-2,2018,210,50
WLNP-4-3,2018,100,100
WLNP-4-4,2018,220,50
WLNP-4-5,2018,230,50
WLNP-5-1,2018,220,220
WLNP-5-2,2018,50,50
WLNP-5-3,2018,210,210
WLNP-5-4,2018,210,210
WLNP-5-5,2018,220,220
WLNP-6-1,2018,210,33
WLNP-6-4,2018,50,33
WLNP-6-5,2018,33,33
WLNP-7-1,2018,220,220
WLNP-7-2,2018,220,220
WLNP-7-3,2018,220,220
WLNP-7-4,2018,80,80
WLNP-7-5,2018,220,220
WLNP-8-1,2018,80,80
WLNP-8-2,2018,80,80
WLNP-8-3,2018,50,50
WLNP-8-4,2018,220,220
WLNP-10-1,2019,50,50
WLNP-10-2,2019,220,220
WLNP-10-3,2019,220,220
WLNP-11-1,2019,50,50
WLNP-11-2,2019,220,50
WLNP-12-1,2019,100,100
WLNP-12-2,2019,50,50
WLNP-12-3,2019,50,50
WLNP-12-4,2019,50,50
WLNP-12-5,2019,100,100
WLNP-13-1,2019,100,100
WLNP-13-2,2019,80,80
WLNP-13-3,2019,100,100
WLNP-13-4,2019,220,220
WLNP-14-1,2019,210,50
WLNP-14-2,2019,50,50
WLNP-14-3,2019,50,50
WLNP-14-4,2019,50,50
WLNP-14-5,2019,50,50
WLNP-15-1,2019,210,50
WLNP-15-2,2019,210,50
WLNP-15-3,2019,210,210
WLNP-16-1,2019,210,33
WLNP-16-2,2019,50,50
WLNP-16-3,2019,50,100
WLNP-16-4,2019,50,50
WLNP-16-5,2019,210,210
WLNP-16-6,2019,210,210
WLNP-16-7,2019,210,210
WLNP-16-8,2019,210,210
WLNP-16-9,2019,100,100
WLNP-17-2,2019,210,210
WLNP-17-3,2019,210,210
WLNP-17-4,2019,220,220
WLNP-17-6,2019,210,210
WLNP-17-7,2019,210,210
WLNP-17-8,2019,210,210
WLNP-18-1,2019,210,50
WLNP-18-2,2019,210,50
WLNP-18-3,2019,210,33
WLNP-18-4,2019,210,33
WLNP-18-5,2019,210,50
WLNP-18-6,2019,33,33
WLNP-18-7,2019,33,33
WLNP-19-4,2019,50,220
WLNP-19-5,2019,100,100
WLNP-19-6,2019,50,50
WLNP-19-7,2019,210,210
WLNP-19-8,2019,210,210
WLNP-21-1,2019,210,33
WLNP-21-2,2019,50,50
WLNP-21-3,2019,220,50
WLNP-21-4,2019,210,50
WLNP-21-5,2019,50,100
WLNP-22-1,2019,210,100
WLNP-22-2,2019,210,210
WLNP-22-3,2019,210,210
WLNP-22-4,2019,210,210
WLNP-22-5,2019,210,210
WLNP-22-6,2019,210,210
WLNP-22-7,2019,210,210
WLNP-22-9,2019,210,210
WLNP-23-1,2019,210,33
WLNP-23-2,2019,210,33
WLNP-23-3,2019,210,50
WLNP-23-4,2019,210,50
WLNP-23-5,2019,210,210
WLNP-23-6,2019,210,210
WLNP-23-7,2019,210,210
WLNP-23-8,2019,210,210
WLNP-24-1,2019,80,80
WLNP-24-2,2019,50,50
WLNP-8-1,2019,80,80
WLNP-8-2,2019,80,80
WLNP-8-3,2019,50,50
WLNP-8-4,2019,220,220
WLNP-8-5,2019,220,220
WLNP-8-6,2019,210,210
WLNP-8-7,2019,210,210
WLNP-8-8,2019,210,210
WLNP-9-1,2019,210,50
WLNP-9-2,2019,220,100
WLNP-9-3,2019,50,50
WLNP-9-4,2019,210,210
WLNP-9-5,2019,210,210
WLNP-18-5,2020,210,50
WLNP-18-8,2020,210,33
WLNP-21-6,2020,100,50
WLNP-1-1,2021,210,210
WLNP-1-2,2021,210,210
WLNP-1-3,2021,210,210
WLNP-10-1,2021,50,50
WLNP-13-2,2021,80,80
WLNP-13-3,2021,100,100
WLNP-13-4,2021,220,220
WLNP-15-1,2021,210,50
WLNP-15-2,2021,210,50
WLNP-16-1,2021,210,33
WLNP-16-2,2021,50,50
WLNP-16-3,2021,50,100
WLNP-16-4,2021,50,50
WLNP-16-5,2021,210,210
WLNP-16-7,2021,210,210
WLNP-16-8,2021,210,210
WLNP-16-9,2021,100,100
WLNP-17-1,2021,210,33
WLNP-17-2,2021,210,210
WLNP-17-3,2021,210,210
WLNP-17-6,2021,210,210
WLNP-17-7,2021,210,210
WLNP-17-8,2021,210,210
WLNP-2-2,2021,210,50
WLNP-2-3,2021,210,33
WLNP-2-4,2021,210,33
WLNP-2-5,2021,210,210
WLNP-22-1,2021,210,100
WLNP-22-10,2021,210,210
WLNP-22-2,2021,210,210
WLNP-22-3,2021,210,210
WLNP-22-4,2021,210,210
WLNP-22-5,2021,210,210
WLNP-22-7,2021,210,210
WLNP-22-9,2021,210,210
WLNP-6-1,2021,210,33
WLNP-6-3,2021,210,33
WLNP-6-4,2021,50,33
WLNP-6-5,2021,33,33
WLNP-7-2,2021,220,220
WLNP-7-3,2021,220,220
WLNP-7-4,2021,80,80
WLNP-7-5,2021,220,220
WLNP-8-1,2021,80,80
WLNP-8-10,2021,210,210
WLNP-8-2,2021,80,80
WLNP-8-3,2021,50,50
WLNP-8-4,2021,220,220
WLNP-8-7,2021,210,210
WLNP-8-8,2021,210,210
WLNP-8-9,2021,210,210
WLNP-9-1,2021,210,50
WLNP-9-2,2021,220,100
WLNP-9-3,2021,50,50
WLNP-9-4,2021,210,210
WLNP-9-5,2021,210,210
WLNP-SUM-12,2021,210,33
WLNP-SUM-127,2021,210,210
WLNP-SUM-15,2021,210,33
WLNP-SUM-9,2021,210,33
WLNP-WP-1,2021,210,210
WLNP-WP-10,2021,210,33
WLNP-WP-11,2021,210,210
WLNP-WP-12,2021,210,210
WLNP-WP-13,2021,210,210
WLNP-WP-3,2021,220,220
WLNP-WP-4,2021,220,220
WLNP-WP-5,2021,50,50
WLNP-WP-6,2021,50,50
WLNP-WP-7,2021,50,50
WLNP-WP-8,2021,210,33
WLNP-WP-9,2021,210,33
AKAMINA-90,2021,210,33
AKAMINA-91,2021,210,33
AKAMINA-92,2021,210,33
AKAMINA-93,2021,210,33
AKAMINA-94,2021,210,33
AKAMINA-95,2021,210,33
BLAKISTON-FAN-162,2021,100,100
BLAKISTON-FAN-163,2021,100,100
BLAKISTON-FAN-164,2021,100,100
BLAKISTON-FAN-165,2021,100,100
BLAKISTON-FAN-166,2021,100,100
BLAKISTON-FAN-167,2021,100,100
BLAKISTON-FAN-168,2021,100,100
BLAKISTON-FAN-169,2021,100,100
CAMERON-LAKE-1,2021,210,210
CAMERON-LAKE-124,2021,210,210
CAMERON-LAKE-3,2021,210,210
CAMERON-LAKE-4,2021,210,33
CAMERON-LAKE-5,2021,210,210
CAMERON-LAKE-6,2021,210,210
CARDSTON-ENTRANCE-550,2021,100,100
CARDSTON-ENTRANCE-551,2021,100,100
CARDSTON-ENTRANCE-552,2021,100,100
CARDSTON-ENTRANCE-553,2021,100,100
CARDSTON-ENTRANCE-554,2021,100,100
CARDSTON-ENTRANCE-555,2021,100,100
CARDSTON-ENTRANCE-556,2021,100,100
CARDSTON-ENTRANCE-557,2021,100,100
CARDSTON-GATE-SOUTH-150,2021,100,100
CARDSTON-GATE-SOUTH-151,2021,100,100
CARDSTON-GATE-SOUTH-152,2021,100,100
CARDSTON-GATE-SOUTH-153,2021,100,100
CARDSTON-GATE-SOUTH-154,2021,100,100
CRANDELL-LAKE-100,2021,210,210
CRANDELL-LAKE-101,2021,210,100
CRANDELL-LAKE-102,2021,210,33
CRANDELL-LAKE-103,2021,210,50
