organization,type,project_id,location,year,COLO,DEJU,GCKI,GRAJ,HETH,MGWA,OSFL,SWTH,VATH,TOWA,WETA,AMRO,CHSP,FOSP,PUFI,RCKI,YEWA,YRWA,HOWR,OCWA,PISI,WAVI,WCSP,WWCR,LISP,TRES,WIWA,AMCR,BCCH,CEDW,MODO,SPSA,DUFL,HAFL,MOBL,WEWP,WIFL,EAKI,RUGR,RWBL,WISN,WTSP,AMRE,BHCO,RNSA,REVI,VESP,NOWA,LAZB,TOSO,SAVS,MOCH,RBNU,TEWA,AMPI,BAOR,CCSP,COYE,EUST,GRCA,PBGR,SACR,SORA,YHBL,CORA,LEFL,SOSP,VEER,ALFL,AMCO,AMGO,PAWR,BHGR,BLJA,CAFI,CANG,NOFL,BRSP,CAJA,LCSP,KILL,GHOW,BRCR,WIWR,RECR,HOFI,NAWA,NRWS,BOCH,DOWO,HAWO,VGSW,CAHU,WEME,AMBI,MALL,PIGR,PSFL,STJA,CAVI,BBCU,RTHA,PIWO,BANS,BRBL,BBMA,CLSW,DUGR,CLNU,AMWI,STGR,OBJECTID,Id,gridcode,Shape_Leng,Shape_Area,geometry,grid code,prjct_d,elevation,slope,aspect,TPI,northness,landCover_2016,landCover_2019,latitude,longitude,landCover_2007,landCover_2008,landCover_2009,landCover_2010,landCover_2011,landCover_2012,landCover_2013,landCover_2014,landCover_2015,landCover_2017,landCover_2018,code,category
PC,BU,10,WLNP-1-1,2018,1,2,1,1,3,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(278092.53044249, 5433802.34236026)",5,10,1799,30.826498930354468,278.9859736299025,-119.71697786399704,0.15619266798705356,210,210,49.01716,-114.035145,210,210,210,210,210,210,210,210,210,210,210,210,Coniferous
PC,BU,10,WLNP-1-2,2018,0,0,1,0,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,"c(277914.691619343, 5433837.40552022)",0,10,1728,15.653811543403828,285.01287961986446,-184.65857945342395,0.25903617074057267,210,210,49.017411,-114.037593,210,210,210,210,210,210,210,210,210,210,210,210,Coniferous
PC,BU,10,WLNP-1-3,2018,1,0,1,0,0,0,0,2,3,1,0,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,"c(277655.674594424, 5433670.33965605)",0,10,1686,9.01097055164267,286.0886109975919,-214.26288215874845,0.27712366838129826,210,210,49.015817,-114.041039,210,210,210,210,210,210,210,210,210,210,210,210,Coniferous
PC,BU,10,WLNP-2-1,2018,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283531.00083642, 5442096.04819307)",5,10,1476,8.177037166565471,52.298500905647735,-241.87247031531388,0.6115477416536669,210,100,49.093598,-113.965298,50,50,50,50,50,210,210,210,210,210,100,100,Herbs
PC,BU,10,WLNP-2-2,2018,0,2,0,0,0,2,0,2,0,0,1,2,4,0,0,0,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283451.036730118, 5442380.03073872)",5,10,1451,14.620931814792732,48.032584286536064,-273.27740300967616,0.668707869421007,210,50,49.096121,-113.966544,210,210,210,210,210,210,210,210,210,210,50,50,Shrubs
PC,BU,10,WLNP-2-3,2018,0,2,0,0,1,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283381.981736056, 5441832.05315833)",5,10,1514,5.728833847671159,87.75665542264737,-206.03571319556795,0.03914374601056541,210,33,49.091174,-113.967195,210,210,210,210,210,210,210,210,210,210,33,33,Exposed/Barren Land
PC,BU,10,WLNP-2-4,2018,0,1,0,0,0,2,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283166.966397043, 5441320.96531703)",5,10,1559,16.774190398030484,84.58416350041789,-180.39095265712285,0.09438348211112849,210,33,49.086507,-113.969862,210,210,210,210,210,210,210,210,210,210,33,33,Exposed/Barren Land
PC,BU,10,WLNP-2-5,2018,0,2,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283271.019945636, 5441019.00396577)",5,10,1579,15.080357991969574,19.61449516844248,-176.3255089893471,0.9419725572799612,210,210,49.083831000000004,-113.968277,210,210,210,210,210,210,210,210,210,210,210,210,Coniferous
PC,BU,10,WLNP-2-6,2018,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(283197.018621681, 5441625.01732521)",5,10,1543,13.174795478268498,87.75492253389486,-183.6119776563596,0.0391739674271814,210,50,49.089249,-113.96961400000001,210,210,210,210,210,210,210,210,210,210,50,50,Shrubs
PC,BU,10,WLNP-3-1,2018,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69768,90471,5,1196640,152515800,"c(288687.980975298, 5446274.93162504)",5,10,1562,5.395335976829907,312.7259157636366,-10.490674887823843,0.678492013676393,50,50,49.132933,-113.896938,50,50,50,50,50,50,50,50,50,50,50,50,Shrubs
