organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus infuscatus,Black Thrush,BLTH,0.00,3.00,25.2,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,6.00,9.00,26.0,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,27.00,30.00,30.1,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,27.00,30.00,28.7,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,33.00,36.00,30.9,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,45.00,48.00,41.8,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus rufitorques,Rufous-collared Robin,RCRO,45.00,48.00,30.2,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,45.00,48.00,32.4,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus viscivorus,Mistle Thrush,MITH,45.00,48.00,29.9,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,48.00,51.00,27.3,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,48.00,51.00,27.4,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,54.00,57.00,25.9,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,57.00,60.00,30.6,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,57.00,60.00,29.1,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Pyrrhula nipalensis,,,60.00,63.00,25.2,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus cardis,,,63.00,66.00,30.6,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Piranga hepatica,,,63.00,66.00,27.4,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,75.00,78.00,42.9,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,75.00,78.00,36.9,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus rufitorques,Rufous-collared Robin,RCRO,75.00,78.00,32.3,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,78.00,81.00,30.5,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus migratorius,American Robin,AMRO,78.00,81.00,30.2,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus cardis,,,138.00,141.00,25.2,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus infuscatus,Black Thrush,BLTH,138.00,141.00,25.4,t,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-27 05:04:00,141431,180,Turdus chrysolaus,,,165.00,168.00,34.8,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-05-29 04:32:00,141432,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-10-1,58512,General Community Waterton Lakes National Park 2019,140,2019-06-03 04:57:00,141430,180,Tachycineta leucopyga,,,150.00,153.00,32.4,f,lite
