organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
PC,WLNP-8-4,868,,49.056738,-113.835936,,Visible,
PC,WLNP-8-3,872,,49.060350,-113.840199,,Visible,
PC,WLNP-9-5,57638,,49.030480,-113.937050,,Visible,
PC,WLNP-9-1,57639,,49.038772,-113.914309,,Visible,
PC,WLNP-17-4,57642,,49.060239,-114.033520,,Visible,
PC,WLNP-16-1,57644,,49.066613,-114.002612,,Visible,
PC,WLNP-8-5,58506,,49.056612,-113.828769,,Visible,
PC,WLNP-8-6,58507,,49.050692,-113.829761,,Visible,
PC,WLNP-8-7,58508,,49.048439,-113.835744,,Visible,
PC,WLNP-9-2,58510,,49.035081,-113.918354,,Visible,
PC,WLNP-9-4,58511,,49.033625,-113.932267,,Visible,
PC,WLNP-16-4,58519,,49.071249,-114.020326,,Visible,
PC,WLNP-16-6,58521,,49.076291,-114.031256,,Visible,
PC,WLNP-17-2,58525,,49.061056,-114.019838,,Visible,
PC,WLNP-17-5,58526,,49.057732,-114.039822,,Visible,
PC,WLNP-17-7,58527,,49.056897,-114.053890,,Visible,
PC,WLNP-18-6,58530,,49.156061,-114.078607,,Visible,
PC,WLNP-18-7,58531,,49.160783,-114.082539,,Visible,
PC,WLNP-21-6,64863,,49.116417,-114.062024,,Visible,
PC,WLNP-21-7,64864,,49.114169,-114.068047,,Visible,
PC,WLNP-18-5,64872,,49.151396,-114.071960,,Visible,
PC,WLNP-18-8,64873,,49.164060,-114.088035,,Visible,
PC,WLNP-9-3,64879,,49.033751,-113.924951,,Visible,
PC,WLNP-8-9,64894,,49.040669,-113.842865,,Visible,
PC,WLNP-8-10,64964,,49.036938,-113.845664,,Visible,
PC,WLNP-CAM-02,64965,,49.015817,-114.041039,,Visible,
PC,WLNP-16-8,64968,,49.079640,-114.043892,,Visible,
PC,WLNP-SUM-12,65222,,49.012068,-114.028527,,Visible,
PC,WLNP-SUM-15,65226,,49.007973,-114.024641,,Visible,
PC,WLNP-17-8,65230,,49.057369,-114.060886,,Visible,
PC,WLNP-SUM-128,65734,,49.020166,-114.012901,,Visible,
PC,WLNP-21-8,65884,,49.113036,-114.074739,,Visible,
PC,WLNP-21-9,65885,,49.112400,-114.081518,,Visible,
PC,WLNP-21-10,65907,,49.112753,-114.088811,,Visible,
