organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-1,57644,2020-07-04 02:00:00,151445,1SPM,98983,Transcribed,UNKN,Unidentified signal,"",Unknown,0.21,180.00,11.41,8.12kHz,11.53kHz,2021930,1,Call,TMTT,,f,2,Steve Enid,660,,-28.22,-40.33,2,0.003092,-0.064488,0.082084,-21.71,-63.36,-70.22,2,0,-0.003164,0.003145,-50,-36.75,-43.67,2,-0.001003,-0.04094,0.036703,-27.76,-54.36,-67.83,2,0,-0.010444,0.010411,-39.62,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=98983,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/eb8d1e0210d14d1d9b650c86cd60aabb.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/eb8d1e0210d14d1d9b650c86cd60aabb.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-1,57644,2020-07-04 02:00:00,151445,1SPM,98983,Transcribed,MOWI,Moderate wind,"",Abiotic,104.55,180.00,7.65,0.09kHz,5.79kHz,2021935,1,Non-vocal,1,,f,1,Steve Enid,660,,-20.65,-37.52,2,0.002815,-0.132677,0.176487,-15.07,-25.99,-40.71,2,-0.001489,-0.102334,0.078443,-19.8,-30.1,-43.19,2,-0.001022,-0.052545,0.058144,-24.71,-35.19,-45.51,2,0.000575,-0.036507,0.035386,-28.75,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=98983,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/c2a5598a81f64a12877c86f3f7cb3189.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/c2a5598a81f64a12877c86f3f7cb3189.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-1,57644,2020-07-04 02:00:00,151445,1SPM,98983,Transcribed,MOBA,Moderate Background Noise,"",Abiotic,121.04,180.00,5.26,0.14kHz,5.51kHz,2021936,1,Non-vocal,1,,f,1,Steve Enid,660,,-14.38,-35.97,2,0.003008,-0.280564,0.274734,-11.04,-23.47,-41.52,2,-0.001103,-0.103915,0.10585,-19.51,-27.15,-42.8,2,-0.001047,-0.067693,0.087544,-21.16,-35.93,-46.15,2,0.000377,-0.034921,0.030428,-29.14,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=98983,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/9cbe2e38d684436a90e64c0a39075072.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5301da34-e96c-43a9-9144-89e77cff97fb/9cbe2e38d684436a90e64c0a39075072.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,MOWI,Moderate wind,"",Abiotic,0.93,180.00,5.14,0.09kHz,11.91kHz,2111792,1,Non-vocal,1,,f,2,Bronwyn Robinson,533,,-2.71,-19.04,2,0.029392,-0.889819,0.888679,-1.01,-8.08,-24.32,2,-0.016051,-0.512651,0.544567,-5.28,-6.48,-25.2,2,0.018107,-0.80526,0.663723,-1.88,-11.87,-30.46,2,-0.009909,-0.360478,0.438889,-7.15,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/516ca7c4b7034946b9f896a2453088a9.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/516ca7c4b7034946b9f896a2453088a9.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,LIRA,Light rain,"",Abiotic,2.83,180.00,4.16,0.14kHz,11.86kHz,2111793,1,Non-vocal,1,,f,2,Bronwyn Robinson,533,,-5.66,-19.02,2,0.027934,-0.884569,0.865026,-1.07,-14.76,-27.84,2,-0.009466,-0.317369,0.5437,-5.29,-8.18,-25.19,2,0.017945,-0.795349,0.589015,-1.99,-17.27,-33.89,2,-0.006539,-0.213842,0.289533,-10.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/bffbef30c48941e882280ccde0bc52ef.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/bffbef30c48941e882280ccde0bc52ef.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,LIRA,Light rain,"",Abiotic,60.84,180.00,5.23,0.09kHz,11.86kHz,2111794,1,Non-vocal,1,,f,1,Bronwyn Robinson,533,,-8.17,-25.96,2,0.028064,-0.848759,0.687745,-1.42,-13.53,-30.98,2,-0.014972,-0.382954,0.464737,-6.66,-17.19,-35.07,2,0.018632,-0.199297,0.22925,-12.79,-22.6,-38.86,2,-0.00984,-0.130157,0.114636,-17.71,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/150a83f38515411a847569ef087a9989.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/150a83f38515411a847569ef087a9989.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,MOWI,Moderate wind,"",Abiotic,63.10,180.00,4.99,0.05kHz,11.95kHz,2111795,1,Non-vocal,1,,f,1,Bronwyn Robinson,533,,-8.2,-24.88,2,0.027917,-0.84419,0.690222,-1.47,-11.13,-27.73,2,-0.019808,-0.499878,0.60713,-4.33,-17.16,-33.52,2,0.018125,-0.199347,0.235257,-12.57,-20.08,-36.11,2,-0.012814,-0.170617,0.145927,-15.36,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/0a073a1870b64a18b4672cb3e86e82fe.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/0a073a1870b64a18b4672cb3e86e82fe.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,LIRA,Light rain,"",Abiotic,120.60,180.00,4.81,0.09kHz,11.95kHz,2111796,1,Non-vocal,1,,f,2,Bronwyn Robinson,533,,-9.92,-27.04,2,0.027792,-0.596423,0.70098,-3.09,-15.3,-32.12,2,-0.015148,-0.397117,0.329657,-8.02,-10.99,-29.86,2,0.01853,-0.548544,0.380703,-5.22,-16.37,-34.9,2,-0.00952,-0.212922,0.301758,-10.41,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/c44eadf7d6a148cea97dc5510e7e9f2a.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/c44eadf7d6a148cea97dc5510e7e9f2a.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-29 00:00:00,158682,1SPM,106276,Transcribed,MOWI,Moderate wind,"",Abiotic,121.84,180.00,5.29,0.05kHz,11.91kHz,2111797,1,Non-vocal,1,,f,2,Bronwyn Robinson,533,,-9.92,-24.11,2,0.028086,-0.596433,0.695938,-3.15,-12.86,-27.02,2,-0.020497,-0.506191,0.428793,-5.91,-10.93,-28.19,2,0.018908,-0.552362,0.380495,-5.16,-13.87,-31.08,2,-0.013183,-0.275686,0.398528,-7.99,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106276,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/236b5ac7b4fd40fba0d069f66af6c456.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/557a1e5f-c9b4-4bbe-9a48-f8cf3b1870bc/236b5ac7b4fd40fba0d069f66af6c456.mp3
PC,General Community Waterton Lakes National Park 2020,353,WLNP-16-4,58519,2020-06-30 00:00:00,158696,1SPM,106290,Transcribed,LIRA,Light rain,"",Abiotic,0.78,180.00,5.24,0.05kHz,11.72kHz,2111798,1,Non-vocal,1,,f,1,Bronwyn Robinson,533,,-23.93,-31.34,2,0.028506,-0.233079,0.245107,-12.21,-26.7,-33.65,2,-0.02024,-0.231627,0.222197,-12.7,-27.12,-34.47,2,0.018631,-0.066023,0.112117,-19.01,-29.92,-36.77,2,-0.013245,-0.087743,0.053143,-21.14,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=106290,https://wildtrax-aru.s3.us-west-2.amazonaws.com/51a84331-fdb1-425c-afb8-c98f3d518d54/ba0ca2d586fa4d42842b812d74862905.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/51a84331-fdb1-425c-afb8-c98f3d518d54/ba0ca2d586fa4d42842b812d74862905.mp3
