organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,0.14,600.00,3.94,0.09kHz,6.30kHz,2579894,1,Song,2,,f,2,Steve Ogle,1211,,-27.23,-31.84,2,-0.00009,-0.158522,0.147195,-16,-28.08,-33.21,2,0.000068,-0.139207,0.13597,-17.13,-30.49,-35.9,2,-0.000104,-0.10156,0.114877,-18.8,-31.31,-37.29,2,0.00009,-0.104188,0.090838,-19.64,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/957e6d1580e6433d87521300926466a0.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/957e6d1580e6433d87521300926466a0.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,2.49,600.00,2.64,2.24kHz,8.26kHz,2579895,1,Song,1,,f,1,Steve Ogle,1211,,-28.16,-31.94,2,-0.000092,-0.139906,0.135975,-17.08,-33.85,-41.18,2,0,-0.067529,0.070607,-23.02,-32.77,-36.07,2,-0.000143,-0.083918,0.079932,-21.52,-40.45,-45.28,2,0,-0.037034,0.038236,-28.35,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/13300bef7cbe4ba3a0f4b5bc5d7f68ea.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/13300bef7cbe4ba3a0f4b5bc5d7f68ea.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,4.71,600.00,2.33,1.31kHz,7.61kHz,2579896,1,Song,1,,f,2,Steve Ogle,1211,,-25.62,-30.62,2,-0.000145,-0.158743,0.166985,-15.55,-27.19,-35.11,2,0.000001,-0.143797,0.14304,-16.84,-30.37,-35.3,2,-0.000292,-0.097459,0.096639,-20.22,-32.03,-40.38,2,0,-0.089908,0.078537,-20.92,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/07082e5a14d64cb0b6ce23fae3048765.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/07082e5a14d64cb0b6ce23fae3048765.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,20.90,600.00,2.05,1.68kHz,7.89kHz,2579898,2,Song,1,,f,1,Steve Ogle,1211,,-26.57,-31.29,2,-0.000257,-0.179265,0.172626,-14.93,-28.5,-37.34,2,0.000001,-0.129594,0.126125,-17.75,-33.08,-35.76,2,-0.000178,-0.089564,0.088341,-20.96,-37.46,-43.11,2,0,-0.058703,0.059261,-24.54,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/9a8e6a0a5dd54188b2638c5722131e5a.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/9a8e6a0a5dd54188b2638c5722131e5a.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,CAFI,Cassin's Finch,HAEMORHOUS CASSINII,Aves,79.84,600.00,3.08,0.47kHz,6.58kHz,2579899,1,Song,1,,f,1,Steve Ogle,1211,,-23.33,-30.72,2,0.000101,-0.188266,0.199684,-13.99,-28.75,-33.74,2,-0.000001,-0.122427,0.130438,-17.69,-29.21,-34.77,2,-0.000112,-0.10246,0.108536,-19.29,-34.81,-37.73,2,-0.000001,-0.063764,0.061358,-23.91,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/caacb31b4bd24b30b6d91565ad04b12e.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/caacb31b4bd24b30b6d91565ad04b12e.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,DUGR,Dusky Grouse,DENDRAGAPUS OBSCURUS,Aves,123.49,600.00,1.64,0.05kHz,2.24kHz,2579903,1,Call,1,,f,2,Steve Ogle,1211,,-27.77,-31.14,2,-0.000198,-0.184326,0.150602,-14.69,-30.68,-33.82,2,0.000139,-0.091491,0.105876,-19.5,-31.96,-35.28,2,-0.000088,-0.107954,0.096944,-19.34,-34.16,-37.56,2,0.000162,-0.072536,0.073833,-22.63,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/4845ed797c524712b050e315136d3d2f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/4845ed797c524712b050e315136d3d2f.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,VGSW,Violet-green Swallow,TACHYCINETA THALASSINA,Aves,177.88,600.00,5.83,1.21kHz,8.45kHz,2579910,1,Call,1,,f,1,Steve Ogle,1211,,-23.16,-31,2,-0.000111,-0.178639,0.173261,-14.96,-29.95,-36.78,2,0,-0.10389,0.104652,-19.61,-29.63,-35.21,2,-0.000062,-0.093422,0.096012,-20.35,-37,-41.05,2,0,-0.049853,0.04872,-26.05,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/fd84f530bc8044e88922802746c9014d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/fd84f530bc8044e88922802746c9014d.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,189.61,600.00,2.63,0.23kHz,8.54kHz,2579911,3,Song,1,,f,1,Steve Ogle,1211,,-21.38,-29.96,2,0.000214,-0.223418,0.204528,-13.02,-28.19,-33.34,2,0.00005,-0.146571,0.125621,-16.68,-27.04,-33.95,2,-0.000003,-0.11235,0.124455,-18.1,-33.94,-37.51,2,0.000048,-0.065278,0.071972,-22.86,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/2ed4def2503e41c9b8b3a351a8c3f600.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/2ed4def2503e41c9b8b3a351a8c3f600.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,VGSW,Violet-green Swallow,TACHYCINETA THALASSINA,Aves,283.79,600.00,3.84,1.07kHz,7.61kHz,2579917,2,Call,1,,f,1,Steve Ogle,1211,,-28.09,-31.78,2,-0.000169,-0.138763,0.140117,-17.07,-30.62,-36.6,2,0,-0.098095,0.09664,-20.17,-31.9,-35.52,2,-0.00019,-0.091056,0.101892,-19.84,-37.32,-41.34,2,0,-0.046361,0.045458,-26.68,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/f348b9d141384cee9bc743f6057534f2.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/f348b9d141384cee9bc743f6057534f2.mp3
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,AKAMINA-90,214835,2021-06-25 05:04:05,305788,1SPT,285133,Transcribed,USHU,Unidentified Selasphorus Hummingbird,SELASPHORUS,Aves,461.83,600.00,3.94,0.89kHz,10.18kHz,2579921,1,Non-vocal,1,,f,2,Steve Ogle,1211,,-20.92,-31.31,2,-0.000071,-0.298694,0.292302,-10.5,-21.65,-35.55,2,0,-0.27219,0.262195,-11.3,-21.58,-35.5,2,-0.000011,-0.218724,0.246015,-12.18,-22.32,-39.72,2,0.000001,-0.190558,0.186633,-14.4,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=285133,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/6e1a21ce1ae04016834f5f2740a9216c.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/0f643fcf-e1ee-493e-98f6-eb21f4a5995e/6e1a21ce1ae04016834f5f2740a9216c.mp3
