organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,1,3057093,1,Song,150.03,2.94,-19.68,f,,Steve Ogle,1211,,loud creek but can still hear 
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,3057084,1,Song,10.51,2.89,-19.25,f,,Steve Ogle,1211,,loud creek but can still hear 
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,3057080,1,Song,0.40,3.00,-32.36,f,,Steve Ogle,1211,,loud creek but can still hear 
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,1,3057081,1,Song,3.70,2.60,-20.42,f,,Steve Ogle,1211,,loud creek but can still hear 
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,2,3057122,1,Song,532.06,2.09,-27.1,f,,Steve Ogle,1211,,loud creek but can still hear 
PC,1113,AKAMINA-90,214835,,-114.045626,49.030052,,,367510,2022-06-25 04:59:10,344723,Transcribed,600s,1SPT,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,1,3057085,1,Song,21.68,2.50,-20.89,f,,Steve Ogle,1211,sounds like MGWA,loud creek but can still hear 
PC,1113,AKAMINA-91,214834,,-114.047039,49.027452,,,367512,2022-06-25 05:27:15,344725,Transcribed,600s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,1,3108024,1,Song,7.08,2.84,-36.81,f,,Steve Ogle,1211,,creek
PC,1113,AKAMINA-91,214834,,-114.047039,49.027452,,,367512,2022-06-25 05:27:15,344725,Transcribed,600s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,3108023,1,Song,2.31,3.84,-26.04,f,,Steve Ogle,1211,too rapid for DEJU (right tone),creek
PC,1113,AKAMINA-91,214834,,-114.047039,49.027452,,,367512,2022-06-25 05:27:15,344725,Transcribed,600s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,2,3108028,1,Song,34.88,4.16,-20.68,f,,Steve Ogle,1211,,creek
PC,1113,AKAMINA-91,214834,,-114.047039,49.027452,,,367512,2022-06-25 05:27:15,344725,Transcribed,600s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,3108022,1,Song,0.00,3.08,-29.65,f,,Steve Ogle,1211,,creek
