organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,ELE-2-5,238145,,53.371490,-117.830710,,Visible,
BU,ELE-2-6,238146,,53.375580,-117.834400,,Visible,
BU,ELE-2-4,238147,,53.369850,-117.839680,,Visible,
BU,ELE-2-3,238148,,53.367370,-117.846990,,Visible,
BU,ELE-2-2,238149,,53.365180,-117.852710,,Visible,
BU,ELE-2-1,238150,,53.358060,-117.855420,,Visible,
BU,ELE-7-4,238225,,52.044354,-116.448638,,Visible,
BU,ELE-7-5,238227,,52.051384,-116.455097,,Visible,
BU,ELE-7-3,238228,,52.037617,-116.444532,,Visible,
BU,ELE-6-5,238229,,52.303727,-116.408428,,Visible,
BU,ELE-7-1,238230,,52.028220,-116.433100,,Visible,
BU,ELE-7-2,238231,,52.030507,-116.439752,,Visible,
BU,ELE-6-4,238232,,52.300191,-116.400319,,Visible,
BU,ELE-6-3,238233,,52.296406,-116.394998,,Visible,
BU,ELE-6-1,238234,,52.292156,-116.381062,,Visible,
BU,ELE-6-2,238235,,52.294037,-116.383213,,Visible,
BU,ELE-5-5,238236,,52.407548,-116.279700,,Visible,
BU,ELE-5-3,238237,,52.403970,-116.279116,,Visible,
BU,ELE-5-4,238238,,52.405402,-116.278925,,Visible,
BU,ELE-5-2,238239,,52.401527,-116.275232,,Visible,
BU,ELE-4-4,238240,,52.014610,-116.471100,,Visible,
BU,ELE-4-3,238241,,52.021360,-116.471700,,Visible,
BU,ELE-4-2,238242,,52.009160,-116.474500,,Visible,
BU,ELE-5-1,238243,,52.405596,-116.265693,,Visible,
BU,ELE-4-1,238244,,52.005080,-116.475100,,Visible,
BU,ELE-3-4,238245,,52.095425,-116.444471,,Visible,
BU,ELE-3-6,238246,,52.101640,-116.451355,,Visible,
BU,ELE-3-3,238247,,52.087651,-116.440147,,Visible,
BU,ELE-3-5,238248,,52.097677,-116.446737,,Visible,
BU,ELE-3-1,238249,,52.077648,-116.424342,,Visible,
BU,ELE-15-5,238250,,50.284717,-114.544885,,Visible,
BU,ELE-15-6,238251,,50.285740,-114.538920,,Visible,
BU,ELE-3-2,238252,,52.081626,-116.431167,,Visible,
BU,ELE-15-4,238253,,50.284962,-114.553035,,Visible,
BU,ELE-14-6N,238254,,49.357190,-114.262997,,Visible,
BU,ELE-14-2,238255,,49.358020,-114.291650,,Visible,
BU,ELE-15-3,238256,,50.285464,-114.560678,,Visible,
BU,ELE-14-4,238257,,49.358013,-114.278825,,Visible,
BU,ELE-14-1,238258,,49.362591,-114.298304,,Visible,
BU,ELE-11-4,238259,,49.368028,-114.437611,,Visible,
BU,ELE-11-3,238260,,49.369837,-114.430343,,Visible,
BU,ELE-11-6N,238261,,49.361213,-114.444967,,Visible,
BU,ELE-11-5,238262,,49.364153,-114.444630,,Visible,
BU,ELE-11-2,238263,,49.367230,-114.419629,,Visible,
BU,ELE-11-1,238264,,49.367992,-114.407155,,Visible,
BU,ELE-4-5,238285,,52.029860,-116.476320,,Visible,
BU,ELE-14-5,238286,,49.358821,-114.280101,,Visible,
BU,ELE-5-6,238288,,52.411580,-116.281500,,Visible,
BU,ELE-5-7,238289,,52.417670,-116.284200,,Visible,
BU,ELE-6-6,238290,,52.304110,-116.413900,,Visible,
BU,ELE-6-7,238291,,52.306230,-116.411300,,Visible,
BU,ELE-1-4,307108,,53.226091,-117.732093,,Visible,
BU,ELE-1-1,307109,,53.237490,-117.780083,,Visible,
BU,ELE-1-3,307110,,53.235920,-117.760264,,Visible,
BU,ELE-1-5,307593,,53.217609,-117.710415,,Visible,
BU,ELE-1-6,307594,,53.214489,-117.706802,,Visible,
BU,ELE-1-2,307595,,53.235807,-117.769990,,Visible,
BU,ELE-17-5,312527,,51.359693,-117.386433,,Visible,
BU,ELE-17-2,312528,,51.350610,-117.407815,,Visible,
BU,ELE-17-4,312529,,51.357116,-117.393325,,Visible,
BU,ELE-17-3,312530,,51.353735,-117.400498,,Visible,
BU,ELE-17-1,312531,,51.347093,-117.415495,,Visible,
BU,ELE-14-3,312532,,49.355187,-114.283687,,Visible,
BU,ELE-15-1,312533,,50.285971,-114.575339,,Visible,
BU,ELE-15-2,312534,,50.285942,-114.568895,,Visible,
BU,ELE-5-8,332559,,52.419620,-116.285900,,Visible,
