organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,4,2757317,1,Song,12.21,1.69,-63.46,t,1,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,3,2757316,1,Song,5.19,1.80,-58.01,t,1,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,2,2757313,1,Song,3.29,2.38,-51.36,t,4,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,2,2757319,1,Song,52.65,1.76,-63.5,t,3,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,2757320,1,Song,104.35,1.31,-48.32,t,3,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2757318,1,Call,33.16,1.69,-56.81,t,3,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2757314,1,Song,0.60,1.69,-61.08,t,3,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367287,2022-06-28 04:54:00,343954,Transcribed,180s,1SPT,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,2757315,1,Song,3.05,1.90,-54.35,t,1,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367237,2022-07-01 05:26:00,343904,Bad Weather,180s,1SPT,NONE,NONE,"",,,,,,,,,,Christopher Moser-Purdy,37,,
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367235,2022-07-01 21:07:00,343902,Transcribed,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,2,2752539,1,Song,27.46,1.28,-37.78,t,4,Alana Demko,532,songs and calls,moderate traffic
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367235,2022-07-01 21:07:00,343902,Transcribed,180s,1SPT,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,2752536,1,Song,5.96,2.39,-60.6,t,2,Alana Demko,532,songs and calls,moderate traffic
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367235,2022-07-01 21:07:00,343902,Transcribed,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,2752537,1,Song,9.98,4.05,-57.36,t,1,Alana Demko,532,,moderate traffic
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367235,2022-07-01 21:07:00,343902,Transcribed,180s,1SPT,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,2752534,1,Song,1.79,2.28,-61.38,t,2,Alana Demko,532,,moderate traffic
BU,1109,ELE-1-1,307109,,-117.780083,53.237490,,,367235,2022-07-01 21:07:00,343902,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2752533,1,Song,0.01,1.48,-56.01,t,3,Alana Demko,532,,moderate traffic
