organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
PC,WLNP-1-2,844,,49.017411,-114.037593,,Visible,
PC,WLNP-2-2,845,,49.096121,-113.966544,,Visible,
PC,WLNP-2-3,846,,49.091174,-113.967195,,Visible,
PC,WLNP-2-5,847,,49.083831,-113.968277,,Visible,
PC,WLNP-6-5,848,,49.021301,-114.009125,,Visible,
PC,WLNP-7-1,849,,49.099050,-113.831745,,Visible,
PC,WLNP-7-4,850,,49.106553,-113.826266,,Visible,
PC,WLNP-4-5,851,,49.076385,-113.896302,,Visible,
PC,WLNP-5-1,852,,49.052202,-113.783361,,Visible,
PC,WLNP-5-2,853,,49.049748,-113.785140,,Visible,
PC,WLNP-2-6,854,,49.089249,-113.969614,,Visible,
PC,WLNP-3-1,855,,49.132933,-113.896938,,Visible,
PC,WLNP-4-1,856,,49.087674,-113.893891,,Visible,
PC,WLNP-1-3,857,,49.015817,-114.041039,,Visible,
PC,WLNP-2-1,858,,49.093598,-113.965298,,Visible,
PC,WLNP-2-4,859,,49.086507,-113.969862,,Visible,
PC,WLNP-5-5,860,,49.058810,-113.784305,,Visible,
PC,WLNP-6-1,861,,49.011654,-114.021207,,Visible,
PC,WLNP-6-4,862,,49.020166,-114.012901,,Visible,
PC,WLNP-7-2,863,,49.100155,-113.830341,,Visible,
PC,WLNP-7-3,864,,49.091844,-113.840157,,Visible,
PC,WLNP-7-5,865,,49.094348,-113.838190,,Visible,
PC,WLNP-8-1,866,,49.069522,-113.843517,,Visible,
PC,WLNP-8-2,867,,49.064099,-113.844181,,Visible,
PC,WLNP-8-4,868,,49.056738,-113.835936,,Visible,
PC,WLNP-5-4,869,,49.060248,-113.782880,,Visible,
PC,WLNP-4-4,870,,49.080039,-113.895542,,Visible,
PC,WLNP-4-3,871,,49.078229,-113.895971,,Visible,
PC,WLNP-8-3,872,,49.060350,-113.840199,,Visible,
PC,WLNP-1-1,873,,49.017160,-114.035145,,Visible,
PC,WLNP-5-3,874,,49.064692,-113.779924,,Visible,
PC,WLNP-6-2,875,,49.017048,-114.019654,,Visible,
PC,WLNP-6-3,876,,49.009902,-114.027589,,Visible,
PC,WLNP-4-2,877,,49.081769,-113.895451,,Visible,
