organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,WLNP-16-1,57644,General Community Waterton Lakes National Park 2020,353,2020-07-02 05:24:00,151420,180,Patagona gigas,,,144.00,147.00,26.9,f,lite
PC,WLNP-16-1,57644,General Community Waterton Lakes National Park 2020,353,2020-07-04 02:00:00,151445,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-06-29 00:00:00,158682,600,Lanius cabanisi,,,435.00,438.00,25.1,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-06-30 00:00:00,158696,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-07-02 00:00:00,158724,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-07-03 00:00:00,158738,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-07-04 00:00:00,158752,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-4,58519,General Community Waterton Lakes National Park 2020,353,2020-07-05 00:00:00,158766,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-6,58521,General Community Waterton Lakes National Park 2020,353,2020-07-04 00:00:00,158950,600,Ammodramus savannarum,Grasshopper Sparrow,GRSP,111.00,114.00,34.1,t,lite
PC,WLNP-16-8,64968,General Community Waterton Lakes National Park 2020,353,2020-07-01 01:00:00,159107,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-16-8,64968,General Community Waterton Lakes National Park 2020,353,2020-07-02 01:00:00,159121,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-2,58525,General Community Waterton Lakes National Park 2020,353,2020-07-03 00:00:00,159426,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-4,57642,General Community Waterton Lakes National Park 2020,353,2020-06-29 01:00:00,159578,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-4,57642,General Community Waterton Lakes National Park 2020,353,2020-06-30 01:00:00,159592,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-4,57642,General Community Waterton Lakes National Park 2020,353,2020-07-01 01:00:00,159606,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-4,57642,General Community Waterton Lakes National Park 2020,353,2020-07-02 01:00:00,159620,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-4,57642,General Community Waterton Lakes National Park 2020,353,2020-07-03 01:00:00,159634,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-06-29 01:00:00,159676,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-06-30 01:00:00,159690,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-07-01 01:00:00,159704,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-07-02 01:00:00,159718,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-07-03 01:00:00,159732,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-5,58526,General Community Waterton Lakes National Park 2020,353,2020-07-04 00:00:00,159745,600,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-17-7,58527,General Community Waterton Lakes National Park 2020,353,2020-07-01 00:00:00,160254,600,*NOT GENERATED/FOUND*,,,,,,f,lite
