organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
PC,353,WLNP-16-1,57644,,-114.002612,49.066613,,,151420,2020-07-02 05:24:00,98958,Bad Weather,180s,1SPM,NONE,NONE,"",,,,,,,,,,Steve Enid,660,,
PC,353,WLNP-16-1,57644,,-114.002612,49.066613,,,151445,2020-07-04 02:00:00,98983,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2021935,1,Non-vocal,104.55,7.65,-25.99,f,,Steve Enid,660,,windy and water noise
PC,353,WLNP-16-1,57644,,-114.002612,49.066613,,,151445,2020-07-04 02:00:00,98983,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2021936,1,Non-vocal,121.04,5.26,-23.47,f,,Steve Enid,660,water running,windy and water noise
PC,353,WLNP-16-1,57644,,-114.002612,49.066613,,,151445,2020-07-04 02:00:00,98983,Transcribed,180s,1SPM,UNKN,Unidentified signal,"",1,2021930,TMTT,Call,0.21,11.41,-54.36,f,,Steve Enid,660,insects buzzing,windy and water noise
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111795,1,Non-vocal,63.10,4.99,-11.13,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111794,1,Non-vocal,60.84,5.23,-13.53,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111796,1,Non-vocal,120.60,4.81,-15.3,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111793,1,Non-vocal,2.83,4.16,-14.76,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111797,1,Non-vocal,121.84,5.29,-12.86,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158682,2020-06-29 00:00:00,106276,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111792,1,Non-vocal,0.93,5.14,-8.08,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2111799,1,Non-vocal,3.85,5.11,-26.11,f,,Bronwyn Robinson,533,water(?),
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2111801,1,Non-vocal,61.08,4.73,-27.23,f,,Bronwyn Robinson,533,water(?),
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111802,1,Non-vocal,120.75,5.24,-23.14,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111800,1,Non-vocal,60.48,4.96,-19.5,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,LIRA,Light rain,"",1,2111798,1,Non-vocal,0.78,5.24,-26.7,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158696,2020-06-30 00:00:00,106290,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2111803,1,Non-vocal,121.64,5.30,-20.72,f,,Bronwyn Robinson,533,water(?),
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158724,2020-07-02 00:00:00,106318,Transcribed,180s,1SPM,HEWI,Heavy wind,"",1,2111805,1,Non-vocal,61.94,5.20,-4.61,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158724,2020-07-02 00:00:00,106318,Transcribed,180s,1SPM,HEWI,Heavy wind,"",1,2111806,1,Non-vocal,120.90,5.15,-4.73,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158724,2020-07-02 00:00:00,106318,Transcribed,180s,1SPM,HEWI,Heavy wind,"",1,2111804,1,Non-vocal,5.99,5.08,-4.47,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158738,2020-07-03 00:00:00,106332,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2111811,1,Non-vocal,120.86,5.16,-25.86,f,,Bronwyn Robinson,533,water(?),
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158738,2020-07-03 00:00:00,106332,Transcribed,180s,1SPM,MOBA,Moderate Background Noise,"",1,2111809,1,Non-vocal,60.91,4.95,-27.84,f,,Bronwyn Robinson,533,water(?),
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158738,2020-07-03 00:00:00,106332,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111810,1,Non-vocal,82.08,4.96,-7.2,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158738,2020-07-03 00:00:00,106332,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111812,1,Non-vocal,147.75,5.40,-19.78,f,,Bronwyn Robinson,533,,
PC,353,WLNP-16-4,58519,,-114.020326,49.071249,,,158738,2020-07-03 00:00:00,106332,Transcribed,180s,1SPM,MOWI,Moderate wind,"",1,2111807,1,Non-vocal,0.79,5.28,-12.43,f,,Bronwyn Robinson,533,,
