organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-33,214727,,2021-06-01 05:07:38,305608,600s 1SPT,Transcribed,3km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-7.38,-41.97,2,-0.000083,-0.935756,0.915434,-0.58,-9.43,-44.98,2,-0.000069,-0.682206,0.641643,-3.32,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284953,WISHBONE-TRAIL-33_20210601_050738.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-34,214725,,2021-06-01 05:34:35,305609,600s 1SPT,Transcribed,3km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-6,-44.43,2,-0.000048,-0.886266,0.946618,-0.48,-7.85,-47.45,2,-0.000037,-0.88909,0.864564,-1.02,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284954,WISHBONE-TRAIL-34_20210601_053435.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-35,214726,,2021-06-01 06:05:21,305610,600s 1SPT,Transcribed,3km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-3.56,-45.2,2,-0.00001,-0.911159,0.961382,-0.34,-10.93,-49.58,2,-0.000011,-0.594577,0.585653,-4.52,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284955,WISHBONE-TRAIL-35_20210601_060521.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-36,214723,,2021-06-01 06:30:45,305611,600s 1SPT,Transcribed,3km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-6.93,-52.76,2,-0.000018,-0.971855,0.880644,-0.25,-7.93,-55.91,2,-0.000012,-0.560605,0.786101,-2.09,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284956,WISHBONE-TRAIL-36_20210601_063045.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-37,214724,,2021-06-01 06:57:25,305612,600s 1SPT,Transcribed,4km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-9.89,-34,2,-0.0001,-0.934267,0.997535,-0.02,-12.9,-37.11,2,-0.00011,-0.708392,0.721599,-2.83,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284957,WISHBONE-TRAIL-37_20210601_065725.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-38,214722,,2021-06-01 07:52:25,305613,600s 1SPT,Transcribed,4km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-6.37,-46.35,2,-0.000017,-0.921219,0.953292,-0.42,-11.93,-48.82,2,-0.000017,-0.500688,0.435071,-6.01,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284958,WISHBONE-TRAIL-38_20210601_075225.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-39,214720,,2021-06-01 08:18:31,305614,600s 1SPT,Transcribed,4km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-8.33,-41.74,2,-0.000041,-0.955688,0.512706,-0.39,-7.58,-44.83,2,-0.000038,-0.523383,0.89172,-1,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284959,WISHBONE-TRAIL-39_20210601_081831.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-40,214721,,2021-06-01 08:43:25,305615,600s 1SPT,Transcribed,4km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-7.33,-48.72,2,-0.000019,-0.906352,0.755691,-0.85,-7.22,-51.78,2,-0.00002,-0.783066,0.938864,-0.55,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284960,WISHBONE-TRAIL-40_20210601_084325.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-61,214719,,2021-06-01 09:15:30,305616,600s 1SPT,Transcribed,5km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,5km,,,,,,,,,,,,,,,,-8.47,-37.57,2,-0.000049,-0.734975,0.760197,-2.38,-6.74,-40.58,2,-0.000052,-0.857215,0.953848,-0.41,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284961,WISHBONE-TRAIL-61_20210601_091530.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,WISHBONE-TRAIL-60,214718,,2021-06-01 09:42:00,305618,600s 1SPT,Transcribed,4km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,4km,,,,,,,,,,,,,,,,-7.23,-33.9,2,-0.000119,-0.950581,0.752364,-0.44,-7.51,-37.47,2,-0.000112,-0.729453,0.834103,-1.58,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=284963,WISHBONE-TRAIL-60_20210601_094200.wav,1211
