organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
PC,YARROW-CABIN-TRAIL-590,214708,,49.195004,-113.959678,,Visible,
PC,YARROW-CABIN-TRAIL-591,214709,,49.192479,-113.958538,,Visible,
PC,YARROW-CABIN-TRAIL-572,214710,,49.198136,-113.964931,,Visible,
PC,YARROW-CABIN-TRAIL-574,214711,,49.196800,-113.962627,,Visible,
PC,YARROW-CABIN-TRAIL-573,214712,,49.196773,-113.964739,,Visible,
PC,YARROW-CABIN-TRAIL-571,214713,,49.198186,-113.966815,,Visible,
PC,YARROW-CABIN-TRAIL-568,214714,,49.196790,-113.973527,,Visible,
PC,YARROW-CABIN-TRAIL-569,214715,,49.197030,-113.971180,,Visible,
PC,YARROW-CABIN-TRAIL-567,214716,,49.196731,-113.976145,,Visible,
PC,YARROW-CABIN-TRAIL-570,214717,,49.197271,-113.968805,,Visible,
PC,WISHBONE-TRAIL-60,214718,,49.094338,-113.838244,,Visible,
PC,WISHBONE-TRAIL-61,214719,,49.091925,-113.840134,,Visible,
PC,WISHBONE-TRAIL-39,214720,,49.097358,-113.833608,,Visible,
PC,WISHBONE-TRAIL-40,214721,,49.096270,-113.835765,,Visible,
PC,WISHBONE-TRAIL-38,214722,,49.099021,-113.831853,,Visible,
PC,WISHBONE-TRAIL-36,214723,,49.102276,-113.829339,,Visible,
PC,WISHBONE-TRAIL-37,214724,,49.100642,-113.830301,,Visible,
PC,WISHBONE-TRAIL-34,214725,,49.105102,-113.827115,,Visible,
PC,WISHBONE-TRAIL-35,214726,,49.104145,-113.829815,,Visible,
PC,WISHBONE-TRAIL-33,214727,,49.106553,-113.826266,,Visible,
PC,SUMMIT-LAKE-9,214728,,49.015226,-114.032730,,Visible,
PC,SUMMIT-LAKE-129,214729,,49.021301,-114.009125,,Visible,
PC,SUMMIT-LAKE-15,214730,,49.007973,-114.024641,,Visible,
PC,SUMMIT-LAKE-16,214731,,49.009468,-114.023676,,Visible,
PC,SUMMIT-LAKE-128,214732,,49.020166,-114.012901,,Visible,
PC,SUMMIT-LAKE-126,214733,,49.005816,-114.022991,,Visible,
PC,SUMMIT-LAKE-127,214734,,49.004286,-114.019500,,Visible,
PC,SUMMIT-LAKE-125,214735,,49.009902,-114.027589,,Visible,
PC,SUMMIT-LAKE-123,214736,,49.018938,-114.016558,,Visible,
PC,SUMMIT-LAKE-122,214737,,49.017048,-114.019654,,Visible,
PC,SUMMIT-LAKE-12,214738,,49.012068,-114.028527,,Visible,
PC,SUMMIT-LAKE-121,214739,,49.014416,-114.020522,,Visible,
PC,SUMMIT-LAKE-120,214740,,49.011654,-114.021207,,Visible,
PC,STONEY-FLATS-161,214741,,49.069376,-113.844626,,Visible,
PC,SUMMIT-LAKE-11,214742,,49.013591,-114.029667,,Visible,
PC,STONEY-FLATS-160,214743,,49.070098,-113.839409,,Visible,
PC,STONEY-FLATS-159,214744,,49.069111,-113.833821,,Visible,
PC,STONEY-FLATS-157,214745,,49.075321,-113.823835,,Visible,
PC,STONEY-FLATS-158,214746,,49.074481,-113.830580,,Visible,
PC,STONEY-FLATS-156,214747,,49.075863,-113.818962,,Visible,
PC,SOFA-MOUNTAIN-81,214748,,49.049748,-113.785140,,Visible,
PC,SOFA-MOUNTAIN-80,214749,,49.052202,-113.783361,,Visible,
PC,SOFA-MOUNTAIN-32,214750,,49.054897,-113.783142,,Visible,
PC,SOFA-MOUNTAIN-30,214751,,49.057422,-113.785884,,Visible,
PC,SOFA-MOUNTAIN-31,214752,,49.055668,-113.785882,,Visible,
PC,SOFA-MOUNTAIN-29,214753,,49.058810,-113.784305,,Visible,
PC,SOFA-MOUNTAIN-28,214754,,49.060248,-113.782880,,Visible,
PC,SOFA-MOUNTAIN-27,214755,,49.061896,-113.782821,,Visible,
PC,SOFA-MOUNTAIN-26,214756,,49.063116,-113.781849,,Visible,
PC,SOFA-MOUNTAIN-25,214757,,49.064692,-113.779924,,Visible,
PC,PRAIRIE-TRAIL-583,214758,,49.111650,-113.886405,,Visible,
