BirdObsID,ParkID,Transect,PointID,Year,Month,Day,SampleNumber,AOU_Code,Time.1st.Detected,#detected_0-3m20s,#detected_3m21s-6m40s,#detected_6m41s-10m,Behaviour,Comments,TransectID
139655,WLNP,Cameron Lake,1,2014,6,27,1,AMRO,0.03,1,1,1,Singing,,7
139656,WLNP,Cameron Lake,1,2014,6,27,1,BOCH,6.13,0,1,1,Calling,,7
139657,WLNP,Cameron Lake,1,2014,6,27,1,GCKI,0.06,1,1,1,Singing,,7
139658,WLNP,Cameron Lake,1,2014,6,27,1,SWTH,0.01,1,2,2,Singing,,7
139659,WLNP,Cameron Lake,1,2014,6,27,1,VATH,0.01,3,3,3,Singing,,7
139660,WLNP,Cameron Lake,1,2014,6,27,1,WIWA,2.46,1,1,1,Singing,,7
139661,WLNP,Cameron Lake,3,2014,6,27,1,PAWR,0.01,1,1,1,Singing,,7
139662,WLNP,Cameron Lake,3,2014,6,27,1,ZZZZ,0.53,1,0,0,Singing,,7
139663,WLNP,Cameron Lake,3,2014,6,27,1,YRWA,0.17,1,1,1,Singing,,7
139664,WLNP,Cameron Lake,3,2014,6,27,1,VATH,0.06,3,3,3,Singing,,7
139665,WLNP,Cameron Lake,3,2014,6,27,1,PIGR,2.39,1,1,0,Calling,,7
139666,WLNP,Cameron Lake,3,2014,6,27,1,GCKI,1.48,1,1,1,Singing,,7
139667,WLNP,Cameron Lake,3,2014,6,27,1,FOSP,1.02,1,0,1,Singing,,7
139668,WLNP,Cameron Lake,3,2014,6,27,1,SWTH,2.04,1,0,1,Calling,,7
139669,WLNP,Cameron Lake,4,2014,6,27,1,WIWA,0.15,1,1,0,Singing,,7
139670,WLNP,Cameron Lake,4,2014,6,27,1,TOWA,3.43,0,1,1,Singing,,7
139671,WLNP,Cameron Lake,4,2014,6,27,1,GCKI,0.01,1,1,2,Singing,,7
139672,WLNP,Cameron Lake,4,2014,6,27,1,PAWR,0.01,1,1,1,Singing,,7
139673,WLNP,Cameron Lake,4,2014,6,27,1,SWTH,0.44,2,2,1,Singing,,7
139674,WLNP,Cameron Lake,4,2014,6,27,1,VATH,0.01,2,2,2,Singing,,7
139675,WLNP,Cameron Lake,4,2014,6,27,1,RESQ,3.07,1,1,1,Calling,,7
139676,WLNP,Cameron Lake,5,2014,6,27,1,DEJU,1.37,1,1,1,Singing,,7
139677,WLNP,Cameron Lake,5,2014,6,27,1,MGWA,3.09,1,1,1,Singing,,7
139678,WLNP,Cameron Lake,5,2014,6,27,1,PAWR,0.06,1,1,1,Singing,,7
139679,WLNP,Cameron Lake,5,2014,6,27,1,STJA,1.3,1,0,0,Calling,,7
139680,WLNP,Cameron Lake,5,2014,6,27,1,SWTH,0.02,1,1,1,Singing,,7
139681,WLNP,Cameron Lake,5,2014,6,27,1,WIWA,0.01,1,1,1,Singing,,7
139682,WLNP,Cameron Lake,6,2014,6,27,1,PAWR,1.16,1,1,0,Singing,,7
139683,WLNP,Cameron Lake,6,2014,6,27,1,DEJU,0.01,1,1,1,Singing,,7
139684,WLNP,Cameron Lake,6,2014,6,27,1,MGWA,8.2,0,0,1,Singing,,7
139685,WLNP,Cameron Lake,6,2014,6,27,1,SWTH,0.01,3,3,1,Singing,,7
139686,WLNP,Cameron Lake,6,2014,6,27,1,TOWA,7.06,0,0,1,Singing,,7
139687,WLNP,Cameron Lake,6,2014,6,27,1,VATH,0.19,1,1,1,Singing,,7
139688,WLNP,Cameron Lake,6,2014,6,27,1,WIWA,7.36,0,0,1,Singing,,7
139689,WLNP,Cameron Lake,6,2014,6,27,1,GCKI,0.24,1,1,0,Singing,,7
139690,WLNP,Summit Lake,9,2014,6,27,1,YRWA,0.27,1,1,1,Singing,,8
139691,WLNP,Summit Lake,9,2014,6,27,1,FOSP,9.25,0,0,1,Singing,,8
139692,WLNP,Summit Lake,9,2014,6,27,1,HETH,0.01,1,2,2,Singing,,8
139693,WLNP,Summit Lake,9,2014,6,27,1,RESQ,2.19,1,0,0,Calling,,8
139694,WLNP,Summit Lake,11,2014,6,27,1,WCSP,1.31,1,1,0,Singing,,8
139695,WLNP,Summit Lake,11,2014,6,27,1,WIWA,0.02,2,2,1,Singing,,8
139696,WLNP,Summit Lake,11,2014,6,27,1,DEJU,6.19,0,1,1,Singing,,8
139697,WLNP,Summit Lake,11,2014,6,27,1,WETA,8.2,0,0,1,Singing,,8
139698,WLNP,Summit Lake,11,2014,6,27,1,VATH,0.41,1,1,1,Singing,,8
139699,WLNP,Summit Lake,11,2014,6,27,1,YRWA,0.01,2,2,2,Singing,,8
139700,WLNP,Summit Lake,11,2014,6,27,1,FOSP,0.06,1,1,1,Singing,,8
139701,WLNP,Summit Lake,11,2014,6,27,1,MOCH,7.19,0,0,1,Calling,,8
139702,WLNP,Summit Lake,11,2014,6,27,1,OSFL,0.16,1,0,1,Singing,,8
139703,WLNP,Summit Lake,11,2014,6,27,1,PIGR,4.2,0,1,1,Calling,,8
139704,WLNP,Summit Lake,11,2014,6,27,1,RBNU,1.05,1,0,1,Calling,,8
139705,WLNP,Summit Lake,11,2014,6,27,1,RCKI,0.32,1,1,0,Singing,,8
139706,WLNP,Summit Lake,12,2014,6,27,1,VATH,0.21,1,0,0,Singing,,8
139707,WLNP,Summit Lake,12,2014,6,27,1,RCKI,0.04,1,1,1,Singing,,8
139708,WLNP,Summit Lake,12,2014,6,27,1,PAWR,2.25,1,1,1,Singing,,8
139709,WLNP,Summit Lake,12,2014,6,27,1,OSFL,0.03,1,1,0,Singing,,8
139710,WLNP,Summit Lake,12,2014,6,27,1,DEJU,5.5,0,1,1,Singing,,8
139711,WLNP,Summit Lake,12,2014,6,27,1,FOSP,0.06,2,2,0,Singing,,8
139712,WLNP,Summit Lake,12,2014,6,27,1,YRWA,0.32,1,1,2,Singing,,8
139713,WLNP,Summit Lake,12,2014,6,27,1,WETA,0.29,1,0,0,Singing,,8
139714,WLNP,Summit Lake,15,2014,7,4,1,FOSP,8.15,0,0,1,Singing,,8
139715,WLNP,Summit Lake,15,2014,7,4,1,YRWA,0.04,1,1,1,Singing,,8
139716,WLNP,Summit Lake,15,2014,7,4,1,RCKI,5.49,0,1,1,Singing,,8
139717,WLNP,Summit Lake,15,2014,7,4,1,NOFL,0.01,1,1,0,Calling,,8
139718,WLNP,Summit Lake,15,2014,7,4,1,DEJU,0.12,1,1,1,Singing,,8
139719,WLNP,Summit Lake,15,2014,7,4,1,PIGR,7.12,0,0,1,Calling,,8
139720,WLNP,Summit Lake,16,2014,7,4,1,PISI,5.3,0,1,1,Calling,,8
139721,WLNP,Summit Lake,16,2014,7,4,1,BOCH,9.12,0,0,1,Calling,,8
139722,WLNP,Summit Lake,16,2014,7,4,1,CHSP,0.01,1,1,2,Singing,,8
139723,WLNP,Summit Lake,16,2014,7,4,1,DEJU,0.04,1,1,1,Singing,,8
139724,WLNP,Summit Lake,16,2014,7,4,1,FOSP,0.23,1,1,0,Singing,,8
139725,WLNP,Summit Lake,16,2014,7,4,1,HETH,6.09,0,1,1,Calling,,8
139726,WLNP,Summit Lake,16,2014,7,4,1,NOFL,2.58,1,1,1,Calling,,8
139727,WLNP,Summit Lake,16,2014,7,4,1,PIGR,7.4,0,0,1,Calling,,8
139728,WLNP,Summit Lake,16,2014,7,4,1,RCKI,0.01,1,1,1,Singing,,8
139729,WLNP,Summit Lake,16,2014,7,4,1,YRWA,0.14,1,1,0,Singing,,8
139730,WLNP,Summit Lake,16,2014,7,4,1,VATH,4,0,1,0,Singing,,8
139731,WLNP,Lower Mount Crandell,18,2014,6,25,1,RCKI,1.49,1,1,0,Singing,,1
139732,WLNP,Lower Mount Crandell,18,2014,6,25,1,BHGR,5.27,0,1,1,Singing,,1
