FieldVisitID,ParkID,Transect,TransectID,PointID,Year,Month,Day,SampleNumber,Time,Method,TrackNumber,Project,Temperature,Sky,Wind,Recorder,Microphone,SoundQuality,Observer,ObserverComments,Transcriber,TranscriberComments
788,WLNP,Lower Mount Crandell,,17,2007,6,15,1,05:03,Recording,3,EI Monitoring,1,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
789,WLNP,Lower Mount Crandell,,18,2007,6,15,1,05:28,Recording,4,EI Monitoring,1.1,scattered,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
790,WLNP,Lower Mount Crandell,,19,2007,6,15,1,05:50,Recording,5,EI Monitoring,5.4,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
791,WLNP,Lower Mount Crandell,,20,2007,6,21,1,05:05,Recording,1,EI Monitoring,15.2,clear,3.4,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
792,WLNP,Lower Mount Crandell,,21,2007,6,18,1,05:30,Recording,2,EI Monitoring,6.8,broken,1,,,Good,"D'Astous, Amelie & Boutin, Dany",light drizzle in middle of recording,Cam Gillies,
793,WLNP,Lower Mount Crandell,,22,2007,6,22,1,05:55,Recording,3,EI Monitoring,6.7,clear,1,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var 2
794,WLNP,Lower Mount Crandell,,23,2007,6,22,1,05:40,Recording,2,EI Monitoring,10.7,clear,1.3,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var2
795,WLNP,Lower Mount Crandell,,24,2007,6,22,1,05:15,Recording,1,EI Monitoring,12.4,clear,0,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
796,WLNP,Lower Mount Crandell,,70,2007,6,15,1,06:47,Recording,7,EI Monitoring,4.6,overcast,1.5,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,var1
797,WLNP,Lower Mount Crandell,,71,2007,6,15,1,07:10,Recording,8,EI Monitoring,4.753333333,overcast,4.006666667,,,Good,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,very quiet
798,WLNP,Horseshoe Basin,,41,2007,6,5,1,05:30,Recording,1,EI Monitoring,17.4,clear,0,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
799,WLNP,Horseshoe Basin,,42,2007,6,5,1,06:55,Recording,8,EI Monitoring,7.4,clear,0,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
800,WLNP,Horseshoe Basin,,43,2007,6,5,1,07:35,Recording,9,EI Monitoring,13.8,clear,1.4,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
801,WLNP,Horseshoe Basin,,44,2007,6,5,1,08:05,Recording,10,EI Monitoring,18,clear,3.9,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
802,WLNP,Horseshoe Basin,,45,2007,6,5,1,05:25,Recording,1,EI Monitoring,6.4,clear,0.9,,,Moderate,"D'Astous, Amelie & Boutin, Dany",,Cam Gillies,
803,WLNP,Horseshoe Basin,,46,2007,6,5,1,05:40,Recording,2,EI Monitoring,1.5,clear,1.1,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
804,WLNP,Horseshoe Basin,,47,2007,6,5,1,06:05,Recording,3,EI Monitoring,1.6,clear,3,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
805,WLNP,Horseshoe Basin,,48,2007,6,5,1,06:30,Recording,4,EI Monitoring,2.8,clear,2.9,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
806,WLNP,Horseshoe Basin,,49,2007,6,13,1,07:00,Recording,5,EI Monitoring,1,clear,0.9,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,unk49 & Rowe Lakes unknown
807,WLNP,Horseshoe Basin,,50,2007,6,13,1,07:25,Recording,6,EI Monitoring,2.6,clear,1.5,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
808,WLNP,Prairie Trail,,575,2007,6,4,1,07:45,Recording,7,EI Monitoring,12.4,clear,1.9,,,Moderate,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
809,WLNP,Prairie Trail,,576,2007,6,4,1,08:30,Recording,9,EI Monitoring,6,clear,1.2,,,Poor,"D'Astous, Amelie & Boutin, Dany & Trena Marr",,Cam Gillies,
