tbl_Point_Locations,,,,,,,,,,,,,,,
PointLocationID,ParkID,Transect,PointID,OldSiteID,YearStart,YearEnd,Active,Datum,UTM Zone,UTM Easting,UTM Northing,Elevation,Ecoregion,Comments,TransectID
467,WLNP,Cameron Lake,1,1,2007,,Yes,NAD 83,11,716344,5433433,1668,Lower Subalpine,,7
468,WLNP,Cameron Lake,3,3,2007,,Yes,NAD 83,11,716589,5433620,1706,Lower Subalpine,,7
469,WLNP,Cameron Lake,4,4,2007,,Yes,NAD 83,11,716685,5433791,1729,Lower Subalpine,,7
470,WLNP,Cameron Lake,5,5,2007,,Yes,NAD 83,11,716797,5433962,1762,Lower Subalpine,,7
471,WLNP,Cameron Lake,6,6,2007,,Yes,NAD 83,11,716769,5433599,1804,Lower Subalpine,,7
545,WLNP,Summit Lake,9,,2007,,Yes,NAD 83,11,716954,5433391,1891,Upper Subalpine,,8
546,WLNP,Summit Lake,11,,2007,,Yes,NAD 83,11,717185,5433218,1962,Upper Subalpine,,8
547,WLNP,Summit Lake,12,,2007,,Yes,NAD 83,11,717275,5433052,1969,Upper Subalpine,,8
548,WLNP,Summit Lake,15,,2007,,Yes,NAD 83,11,717577,5432608,1958,Upper Subalpine,,8
549,WLNP,Summit Lake,16,,2007,,Yes,NAD 83,11,717641,5432777,1962,Upper Subalpine,,8
497,WLNP,Lower Mount Crandell,17,,2007,,No,NAD 83,12,288442,5439719,,Foothills Parkland,,1
498,WLNP,Lower Mount Crandell,18,,2007,,Yes,NAD 83,12,288494,5439988,1306,Foothills Parkland,,1
499,WLNP,Lower Mount Crandell,19,,2007,,Yes,NAD 83,12,288526,5440192,1325,Foothills Parkland,,1
500,WLNP,Lower Mount Crandell,20,,2007,,Yes,NAD 83,12,288565,5440392,1339,Foothills Parkland,,1
501,WLNP,Lower Mount Crandell,21,,2007,,Yes,NAD 83,12,288579,5440584,1340,Montane,,1
502,WLNP,Lower Mount Crandell,22,,2007,,Yes,NAD 83,12,288726,5440730,1340,Foothills Parkland,,1
503,WLNP,Lower Mount Crandell,23,,2007,,Yes,NAD 83,12,288844,5440846,1340,Foothills Parkland,,1
504,WLNP,Lower Mount Crandell,24,,2007,,Yes,NAD 83,12,288888,5440989,1350,Montane,,1
535,WLNP,Sofa Mountain,25,,2007,,Yes,NAD 83,12,296944,5438370,1555,Montane,,5
536,WLNP,Sofa Mountain,26,,2007,,Yes,NAD 83,12,296797,5438200,1564,Montane,,5
537,WLNP,Sofa Mountain,27,,2007,,Yes,NAD 83,12,296717,5438053,1580,Montane,,5
538,WLNP,Sofa Mountain,28,,2007,,Yes,NAD 83,12,296710,5437884,1602,Montane,,5
539,WLNP,Sofa Mountain,29,,2007,,Yes,NAD 83,12,296600,5437728,1625,Lower Subalpine,,5
540,WLNP,Sofa Mountain,30,,2007,,Yes,NAD 83,12,296479,5437578,1643,Montane,,5
541,WLNP,Sofa Mountain,31,,2007,,Yes,NAD 83,12,296472,5437383,1629,Montane,,5
542,WLNP,Sofa Mountain,32,,2007,,Yes,NAD 83,12,296669,5437290,1628,Montane,,5
559,WLNP,Wishbone Trail,33,,2007,,Yes,NAD 83,12,293733,5443148,1274,Foothills Parkland,,4
560,WLNP,Wishbone Trail,34,,2007,,Yes,NAD 83,12,293665,5442989,1273,Foothills Parkland,,4
561,WLNP,Wishbone Trail,35,,2007,,Yes,NAD 83,12,293464,5442890,1270,Foothills Parkland,,4
562,WLNP,Wishbone Trail,36,,2007,,Yes,NAD 83,12,293491,5442681,1269,Foothills Parkland,,4
563,WLNP,Wishbone Trail,37,,2007,,Yes,NAD 83,12,293414,5442502,1269,Foothills Parkland,,4
564,WLNP,Wishbone Trail,38,,2007,,Yes,NAD 83,12,293288,5442331,1270,Foothills Parkland,,4
