organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,0.00,3.00,45.2,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,0.00,3.00,34.3,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,3.00,6.00,43.6,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,3.00,6.00,44.6,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,9.00,12.00,57.4,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,9.00,12.00,43.3,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,12.00,15.00,61.0,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,12.00,15.00,43.3,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,15.00,18.00,36.8,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,15.00,18.00,51.4,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,21.00,24.00,40.2,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,24.00,27.00,26.3,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,24.00,27.00,49.7,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,27.00,30.00,48.7,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,27.00,30.00,50.6,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,33.00,36.00,44.4,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,33.00,36.00,35.6,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Emberiza cirlus,Cirl Bunting,EMBCIR,36.00,39.00,45.1,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,36.00,39.00,30.1,t,lite
PC,WLNP-1-1,873,General Community Waterton Lakes National Park 2018,10,2018-06-28 05:21:00,7057,180,Junco hyemalis,Dark-eyed Junco,DEJU,39.00,42.00,33.1,t,lite
