organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,0.00,180.00,1.25,2.38kHz,11.67kHz,43942,1,Song,1,,f,1,Christopher Wagner,39,,-37.65,-41.61,2,0.007469,-0.02676,0.041105,-27.72,-40.13,-48.59,2,0,-0.030312,0.031723,-29.97,-31.05,-35.25,2,0.020904,-0.012984,0.05843,-24.67,-40.17,-47.45,2,0,-0.031472,0.031544,-30.02,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/371de6cec04445f99dba9bdeba349a71.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/371de6cec04445f99dba9bdeba349a71.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,VATH,Varied Thrush,IXOREUS NAEVIUS,Aves,0.00,180.00,1.06,2.29kHz,3.36kHz,41277,1,Song,1,,f,2,Christopher Wagner,39,,-37.65,-40.64,2,0.007429,-0.02676,0.041105,-27.72,-55.48,-60,2,0,-0.006723,0.006712,-43.45,-31.05,-35.25,2,0.020644,-0.012984,0.05843,-24.67,-47.05,-54.28,2,0,-0.014745,0.014498,-36.63,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/54d41b8d71844f629c09683f5d998f15.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/54d41b8d71844f629c09683f5d998f15.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,UNAM,Unidentified passerine in the American Robin Song Complex,"",Aves,0.66,180.00,2.91,1.91kHz,4.25kHz,43945,1,Song,1,,f,1,Christopher Wagner,39,,-37.68,-42.94,2,0.007988,-0.021627,0.042436,-27.45,-43.17,-64.73,2,0,-0.025274,0.025525,-31.86,-31.26,-34.66,2,0.022588,-0.014741,0.060824,-24.32,-42.22,-61.13,2,0,-0.030351,0.030872,-30.21,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/0324ae6aa4ed4ed19b950ba7a5145605.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/0324ae6aa4ed4ed19b950ba7a5145605.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,Aves,1.15,180.00,1.45,3.32kHz,5.79kHz,43947,1,Song,1,,f,1,Christopher Wagner,39,,-40.69,-42.3,2,0.007753,-0.003909,0.017709,-35.04,-57.04,-65.3,2,0,-0.005633,0.005461,-44.99,-31.51,-34.68,2,0.021874,-0.007458,0.041163,-27.71,-55.62,-63.53,2,0,-0.007131,0.007147,-42.92,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/b67bf63a47694fe1bf151e6b466ed79d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/b67bf63a47694fe1bf151e6b466ed79d.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,3.04,180.00,1.65,3.36kHz,6.30kHz,43943,2,Song,1,,f,1,Christopher Wagner,39,,-36.49,-46.47,2,0.008053,-0.00866,0.025279,-31.94,-51.85,-62.38,2,0,-0.009088,0.009466,-40.48,-30.11,-34.98,2,0.022192,-0.00702,0.046198,-26.71,-49.75,-59.93,2,0,-0.012226,0.013176,-37.6,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/1af40312f3f6431c873938b49ed87822.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/1af40312f3f6431c873938b49ed87822.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,4.06,180.00,1.43,1.96kHz,6.91kHz,43950,1,S-C,1,,f,1,Christopher Wagner,39,,-36.43,-46.47,2,0.00801,-0.009945,0.028861,-30.79,-45.1,-62.27,2,0,-0.017733,0.017677,-35.02,-30.67,-34.36,2,0.02241,-0.006246,0.051837,-25.71,-45.63,-59,2,0,-0.016387,0.014908,-35.71,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/c4cfb6da23a84a679252176dd9643e7e.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/c4cfb6da23a84a679252176dd9643e7e.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,Aves,6.56,180.00,2.33,6.86kHz,8.96kHz,43959,1,Song,1,,f,2,Christopher Wagner,39,,-39.95,-43.15,2,0.007967,-0.016519,0.029611,-30.57,-71.68,-73.94,2,0,-0.00112,0.001144,-58.83,-31.69,-33.9,2,0.022346,-0.007991,0.044728,-26.99,-67.67,-71.2,2,0,-0.001663,0.00162,-55.58,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/2a1840a3be554e2e97922d919d6f283f.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/2a1840a3be554e2e97922d919d6f283f.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,SWTH,Swainson's Thrush,CATHARUS USTULATUS,Aves,10.49,180.00,1.15,1.73kHz,4.72kHz,41278,2,S-C,1,,f,1,Christopher Wagner,39,,-37.39,-45.41,2,0.007801,-0.018785,0.023057,-32.74,-49.18,-62.81,2,0,-0.018864,0.017316,-34.49,-31.91,-35.39,2,0.021504,-0.010868,0.042385,-27.46,-47.61,-59.56,2,0,-0.016168,0.015493,-35.83,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/054712985aac4464821873ce3083ef7d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/054712985aac4464821873ce3083ef7d.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,OSFL,Olive-sided Flycatcher,CONTOPUS COOPERI,Aves,18.79,180.00,0.93,1.91kHz,4.39kHz,41279,1,Song,1,,f,1,Christopher Wagner,39,,-38.04,-45.14,2,0.007677,-0.006519,0.021049,-33.54,-60.57,-64.68,2,0,-0.003221,0.003211,-49.84,-30.22,-35.34,2,0.021367,-0.006397,0.048718,-26.25,-57.96,-62.04,2,0,-0.004929,0.00504,-45.95,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/e120446c27fb446a9c9f1373363a2b1a.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/e120446c27fb446a9c9f1373363a2b1a.mp3
PC,General Community Waterton Lakes National Park 2018,10,WLNP-1-1,873,2018-06-28 05:21:00,7057,1SPM,9924,Transcribed,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,Aves,32.74,180.00,1.35,2.47kHz,6.58kHz,43956,2,Song,1,,f,1,Christopher Wagner,39,,-39.43,-43.14,2,0.007622,-0.007984,0.023768,-32.48,-47.27,-63.55,2,0,-0.013257,0.013381,-37.47,-31.69,-33.94,2,0.022027,-0.004433,0.041397,-27.66,-48.03,-60.95,2,0,-0.011669,0.011758,-38.59,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=9924,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/f2691b4a56624e33beeca4f3847ca181.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/bfbf1749-837e-4ab5-90fd-6860cfb3253a/f2691b4a56624e33beeca4f3847ca181.mp3
