organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,General Community Waterton Lakes National Park 2019,140,WLNP-11-2,57647,,2019-05-25 04:37:00,141442,180s 1SPM,Transcribed,8km,6.30,11.40,8.80,,,23.50,,WATERTON PARK GATE,1289.00m,8km,,,,,,,,,,,,,,,,-36.29,-47.97,2,-0.000005,-0.105733,0.084525,-19.52,-38.38,-46.08,2,-0.000005,-0.144921,0.146559,-16.68,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88942,2,533
PC,General Community Waterton Lakes National Park 2019,140,WLNP-12-4,57651,,2019-05-25 04:37:00,141465,180s 1SPM,Transcribed,7km,6.30,11.40,8.80,,,23.50,,WATERTON PARK GATE,1289.00m,7km,,,,,,,,,,,,,,,,-23.57,-51.37,2,-0.000005,-0.124803,0.240268,-12.39,-22.16,-51.12,2,-0.000005,-0.395208,0.983304,-0.15,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88964,4,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-11-3,57646,,2019-05-25 05:37:00,141447,180s 1SPM,Transcribed,9km,6.30,11.40,8.80,,,23.50,,WATERTON PARK GATE,1289.00m,9km,,,,,,,,,,,,,,,,-32.34,-48.81,2,-0.000005,-0.154976,0.135119,-16.19,-37.69,-49.54,2,-0.000006,-0.152134,0.15996,-15.92,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88946,3,25
PC,General Community Waterton Lakes National Park 2019,140,WLNP-10-3,58514,,2019-05-26 04:36:00,141441,180s 1SPM,Bad Weather,5km,5.00,8.70,6.80,,,35.20,,WATERTON PARK GATE,1289.00m,5km,,,,,,,,,,,,,,,,-15.36,-47.76,6,-0.000005,-0.979847,1,0,-18.52,-48.19,2,-0.000004,-0.765564,0.991119,-0.08,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88941,3,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-19-5,86352,,2019-05-26 05:06:00,190699,180s 1SPM,Bad Weather,12km,5.00,8.70,6.80,,,35.20,,WATERTON PARK GATE,1289.00m,12km,,,,,,,,,,,,,,,,-2.02,-33.48,,-0.000058,-1,1,0,-2.24,-36.23,,-0.000022,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=156077,WLNP-019-05_20190526_050600.wav,1247
PC,General Community Waterton Lakes National Park 2019,140,WLNP-14-1,58515,,2019-05-26 05:36:00,141481,180s 1SPM,Transcribed,7km,5.00,8.70,6.80,,,35.20,,WATERTON PARK GATE,1289.00m,7km,,,,,,,,,,,,,,,,-2.42,-33.12,45,-0.000002,-1,1,0,-2.96,-34.26,325,-0.000014,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88980,1,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-14-3,57662,,2019-05-26 05:36:00,141486,180s 1SPM,Bad Weather,6km,5.00,8.70,6.80,,,35.20,,WATERTON PARK GATE,1289.00m,6km,,,,,,,,,,,,,,,,-1.78,-40.47,29,-0.000005,-1,1,0,-2.43,-37.7,101,0.000002,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88985,3,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-10-3,58514,,2019-05-27 04:34:00,141440,180s 1SPM,Transcribed,5km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,5km,,,,,,,,,,,,,,,,-10.38,-50.19,,-0.000004,-0.977945,0.986117,-0.12,-2.38,-50.66,,-0.000085,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88912,3,22
PC,General Community Waterton Lakes National Park 2019,140,WLNP-15-3,57648,,2019-05-27 04:34:00,141507,180s 1SPM,Transcribed,13km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-4.19,-44.36,2,0.000005,-0.972001,0.974475,-0.22,-12.06,-45.81,2,-0.00001,-0.555021,0.452921,-5.11,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=89006,WLNP-015-03_20190527_043400.wac,25
PC,General Community Waterton Lakes National Park 2019,140,WLNP-19-4,58532,,2019-05-27 04:34:00,141591,180s 1SPM,Transcribed,13km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,13km,,,,,,,,,,,,,,,,-4.48,-48.69,2,-0.000005,-0.974391,0.971142,-0.23,-1.98,-47.8,2,-0.000057,-0.981303,0.983225,-0.15,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=89090,WLNP-019-04_20190527_043400.wac,534
PC,General Community Waterton Lakes National Park 2019,140,WLNP-10-1,58512,,2019-05-27 05:04:00,141431,180s 1SPM,Transcribed,6km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,6km,,,,,,,,,,,,,,,,-29.06,-48.47,2,-0.000006,-0.095681,0.101217,-19.89,-27.19,-47.87,2,-0.000006,-0.165911,0.207079,-13.68,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88904,1,22
PC,General Community Waterton Lakes National Park 2019,140,WLNP-14-5,58516,,2019-05-27 05:04:00,141494,180s 1SPM,Transcribed,5km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,5km,,,,,,,,,,,,,,,,-13.65,-47.99,2,-0.000005,-0.763786,0.694061,-2.34,-18.29,-48.5,2,-0.000005,-0.346285,0.339854,-9.21,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88993,WLNP-014-05_20190527_050400.wac,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-12-2,57653,,2019-05-27 05:34:00,141454,180s 1SPM,Transcribed,6km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,6km,,,,,,,,,,,,,,,,-10.5,-50.76,2,-0.000005,-0.887929,0.878572,-1.03,-5.4,-48.78,994,-0.000006,-1,1,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88953,2,25
PC,General Community Waterton Lakes National Park 2019,140,WLNP-13-1,86348,,2019-05-27 05:34:00,190702,180s 1SPM,Transcribed,2km,2.20,15.30,8.70,,,0.00,,WATERTON PARK GATE,1289.00m,2km,,,,,,,,,,,,,,,,-27.1,-50.16,2,-0.000005,-0.167656,0.244095,-12.25,-49.35,-54.06,2,-0.000005,-0.013508,0.012797,-37.39,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=156080,WLNP-013-01_20190527_053400.wav,1257
PC,General Community Waterton Lakes National Park 2019,140,WLNP-14-2,57663,,2019-05-28 04:33:00,141485,180s 1SPM,Transcribed,7km,0.10,20.70,10.40,,,0.70,,WATERTON PARK GATE,1289.00m,7km,,,,,,,,,,,,,,,,-8.94,-46,2,-0.000002,-0.649821,0.641543,-3.74,-17.37,-46.07,2,-0.000005,-0.267962,0.213173,-11.44,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88984,2,532
PC,General Community Waterton Lakes National Park 2019,140,WLNP-13-4,57655,,2019-05-28 05:03:00,141475,180s 1SPM,Transcribed,3km,0.10,20.70,10.40,,,0.70,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-24.87,-47.45,2,-0.000007,-0.192616,0.208729,-13.61,-25.24,-46.67,2,-0.000007,-0.145757,0.231921,-12.69,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=88974,4,534
