organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
PC,WLNP-1-2,844,,49.017411,-114.037593,,Visible,
PC,WLNP-2-2,845,,49.096121,-113.966544,,Visible,
PC,WLNP-2-3,846,,49.091174,-113.967195,,Visible,
PC,WLNP-2-5,847,,49.083831,-113.968277,,Visible,
PC,WLNP-6-5,848,,49.021301,-114.009125,,Visible,
PC,WLNP-7-4,850,,49.106553,-113.826266,,Visible,
PC,WLNP-1-3,857,,49.015817,-114.041039,,Visible,
PC,WLNP-2-4,859,,49.086507,-113.969862,,Visible,
PC,WLNP-6-1,861,,49.011654,-114.021207,,Visible,
PC,WLNP-6-4,862,,49.020166,-114.012901,,Visible,
PC,WLNP-7-2,863,,49.100155,-113.830341,,Visible,
PC,WLNP-7-3,864,,49.091844,-113.840157,,Visible,
PC,WLNP-7-5,865,,49.094348,-113.838190,,Visible,
PC,WLNP-8-1,866,,49.069522,-113.843517,,Visible,
PC,WLNP-8-2,867,,49.064099,-113.844181,,Visible,
PC,WLNP-8-4,868,,49.056738,-113.835936,,Visible,
PC,WLNP-8-3,872,,49.060350,-113.840199,,Visible,
PC,WLNP-1-1,873,,49.017160,-114.035145,,Visible,
PC,WLNP-6-2,875,,49.017048,-114.019654,,Visible,
PC,WLNP-6-3,876,,49.009902,-114.027589,,Visible,
PC,WLNP-9-5,57638,,49.030480,-113.937050,,Visible,
PC,WLNP-9-1,57639,,49.038772,-113.914309,,Visible,
PC,WLNP-22-3,57640,,49.052177,-113.939050,,Visible,
PC,WLNP-17-3,57643,,49.061142,-114.026642,,Visible,
PC,WLNP-16-1,57644,,49.066613,-114.002612,,Visible,
PC,WLNP-16-2,57645,,49.067749,-114.008920,,Visible,
PC,WLNP-15-2,57650,,49.089180,-113.969533,,Visible,
PC,WLNP-13-4,57655,,49.116998,-113.844480,,Visible,
PC,WLNP-13-3,57657,,49.120608,-113.840498,,Visible,
PC,WLNP-13-2,57658,,49.124910,-113.841169,,Visible,
PC,WLNP-8-7,58508,,49.048439,-113.835744,,Visible,
PC,WLNP-8-8,58509,,49.045416,-113.839480,,Visible,
PC,WLNP-9-2,58510,,49.035081,-113.918354,,Visible,
PC,WLNP-9-4,58511,,49.033625,-113.932267,,Visible,
PC,WLNP-10-1,58512,,49.075847,-113.819031,,Visible,
PC,WLNP-15-1,58517,,49.094391,-113.965592,,Visible,
PC,WLNP-16-3,58518,,49.068810,-114.015342,,Visible,
PC,WLNP-16-4,58519,,49.071249,-114.020326,,Visible,
PC,WLNP-16-5,58520,,49.073562,-114.026041,,Visible,
PC,WLNP-16-7,58522,,49.078414,-114.036875,,Visible,
PC,WLNP-16-9,58523,,49.080284,-114.051418,,Visible,
PC,WLNP-17-1,58524,,49.058540,-114.013045,,Visible,
PC,WLNP-17-2,58525,,49.061056,-114.019838,,Visible,
PC,WLNP-17-7,58527,,49.056897,-114.053890,,Visible,
PC,WLNP-22-1,58536,,49.054273,-113.925520,,Visible,
PC,WLNP-22-4,58537,,49.051706,-113.944910,,Visible,
PC,WLNP-22-7,58539,,49.047107,-113.964927,,Visible,
PC,WLNP-22-9,58541,,49.039028,-113.970032,,Visible,
PC,WLNP-22-10,58542,,49.034713,-113.971498,,Visible,
PC,WLNP-9-3,64879,,49.033751,-113.924951,,Visible,
PC,WLNP-8-9,64894,,49.040669,-113.842865,,Visible,
PC,WLNP-8-10,64964,,49.036938,-113.845664,,Visible,
PC,WLNP-16-8,64968,,49.079640,-114.043892,,Visible,
PC,WLNP-SUM-12,65222,,49.012068,-114.028527,,Visible,
PC,WLNP-SUM-15,65226,,49.007973,-114.024641,,Visible,
PC,WLNP-17-6,65229,,49.056994,-114.046718,,Visible,
PC,WLNP-17-8,65230,,49.057369,-114.060886,,Visible,
PC,WLNP-22-2,65231,,49.053677,-113.932093,,Visible,
PC,WLNP-22-5,65232,,49.050561,-113.951396,,Visible,
PC,WLNP-SUM-127,65233,,49.004286,-114.019500,,Visible,
PC,WLNP-WP-9,88882,,49.027300,-114.058873,,Visible,
PC,WLNP-WP-6,88883,,49.042540,-113.789552,,Visible,
PC,WLNP-WP-8,88884,,49.025210,-114.051230,,Visible,
PC,WLNP-WP-5,88885,,49.047180,-113.787412,,Visible,
PC,WLNP-WP-7,88886,,49.039020,-113.792409,,Visible,
PC,WLNP-WP-13,88887,,49.015380,-114.081369,,Visible,
PC,WLNP-WP-4,88888,,49.050770,-113.784541,,Visible,
PC,WLNP-WP-12,88889,,49.012790,-114.077680,,Visible,
PC,WLNP-WP-11,88890,,49.014050,-114.070349,,Visible,
PC,WLNP-WP-3,88891,,49.059360,-113.783931,,Visible,
PC,WLNP-WP-1,88892,,49.028750,-113.933945,,Visible,
PC,WLNP-SUM-9,88893,,49.015090,-114.032764,,Visible,
PC,WLNP-WP-10,88894,,49.021710,-114.065373,,Visible,
PC,WLNP-WP-2,181966,,,,,Visible,
