organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285065,2021-06-02 02:40:00,264233,Transcribed,180s,1SPT,NONE,NONE,"",,,,,,,,,,Steve Enid,660,,"very quiet
running water noise in background"
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,BHGR,Black-headed Grosbeak,PHEUTICUS MELANOCEPHALUS,1,2614293,1,Song,0.05,2.40,-49.14,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,1,2614297,1,Song,10.86,2.34,-59.4,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,2,2614298,1,Song,66.71,1.56,-62.02,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,PISI,Pine Siskin,SPINUS PINUS,1,2614295,2,Call,1.69,2.19,-54.98,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,1,2614299,1,Song,75.53,2.38,-63.88,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,AMRE,American Redstart,SETOPHAGA RUTICILLA,1,2614306,1,Song,132.96,1.20,-57.23,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,1,2614302,1,Song,84.49,3.88,-60.85,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285173,2021-06-03 07:20:00,264341,Transcribed,180s,1SPT,BHGR,Black-headed Grosbeak,PHEUTICUS MELANOCEPHALUS,2,2614294,1,Song,2.50,1.99,-57.04,f,,Jon Van Arragon,1247,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,284997,2021-06-03 22:40:00,264165,Transcribed,180s,1SPT,LIRA,Light rain,"",1,2350707,1,Non-vocal,0.04,4.98,-42.35,f,,Alana Demko,532,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,284997,2021-06-03 22:40:00,264165,Transcribed,180s,1SPT,LIWI,Light wind,"",1,2350706,1,Non-vocal,0.03,5.00,-42.53,f,,Alana Demko,532,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285011,2021-06-05 06:00:00,264179,Bad Weather,180s,1SPT,NONE,NONE,"",,,,,,,,,,Jon Van Arragon,1247,,Constant heavy wind
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285075,2021-06-06 23:20:00,264243,Transcribed,180s,1SPT,NONE,NONE,"",,,,,,,,,,Steve Enid,660,,"wind and water noise
wind is gusty
"
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285012,2021-06-10 22:00:00,264180,Bad Weather,180s,1SPT,NONE,NONE,"",,,,,,,,,,Jon Van Arragon,1247,,Rain + wind noise
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,284985,2021-06-11 07:00:00,264153,Bad Weather,180s,1SPT,NONE,NONE,"",,,,,,,,,,Alana Demko,532,,heavy wind; not transcribed
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,BHGR,Black-headed Grosbeak,PHEUTICUS MELANOCEPHALUS,1,2562571,1,Song,1.63,13.56,-44.68,f,,Kelsey Bell,1242,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,RNSA,Red-naped Sapsucker,SPHYRAPICUS NUCHALIS,1,2562554,1,Call,27.63,0.40,-53.23,f,,Kelsey Bell,1242,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,UNPA,Unidentified Passerine,"",1,2562593,1,Song,0.04,1.20,-57.34,f,,Kelsey Bell,1242,i think the same bird sings at 18sec and again at 88sec. but I can't quite make out the pattern confidence:Unknown far,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,1,2562549,1,Song,8.61,1.49,-48.38,f,,Kelsey Bell,1242,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2562559,1,Song,70.53,2.39,-36.24,f,,Kelsey Bell,1242,"flight call first, then song",
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,YEWA,Yellow Warbler,SETOPHAGA PETECHIA,2,2562573,1,Song,12.99,1.65,-48.29,f,,Kelsey Bell,1242,,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,2,2562550,1,Song,10.49,1.14,-50.51,f,,Kelsey Bell,1242,see 142 sec,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,RUGR,Ruffed Grouse,BONASA UMBELLUS,1,2562561,1,Non-vocal,79.26,6.88,-36.71,f,,Kelsey Bell,1242,"can't hear it, but can see it on spectrogram",
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,1,2562547,1,Song,6.73,1.30,-59.23,f,,Kelsey Bell,1242,see 146 sec,
PC,598,WLNP-10-1,58512,,-113.819031,49.075847,,,285171,2021-06-14 05:00:00,264339,Transcribed,180s,1SPT,HOWR,House Wren,TROGLODYTES AEDON,1,2562548,1,Song,4.54,1.86,-52.52,f,,Kelsey Bell,1242,,
PC,598,WLNP-1-1,873,,-114.035145,49.017160,,,285029,2021-06-01 07:20:00,264197,Transcribed,180s,1SPT,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,2609918,1,Call,58.20,0.74,-49.03,f,,Jon Van Arragon,1247,,
PC,598,WLNP-1-1,873,,-114.035145,49.017160,,,285029,2021-06-01 07:20:00,264197,Transcribed,180s,1SPT,UNTR,Unidentified Trill,"",1,2609919,1,Song,101.98,1.24,-52.86,f,,Jon Van Arragon,1247,Very distant trill confidence:Unknown far,
PC,598,WLNP-1-1,873,,-114.035145,49.017160,,,285029,2021-06-01 07:20:00,264197,Transcribed,180s,1SPT,VATH,Varied Thrush,IXOREUS NAEVIUS,1,2609920,1,Song,135.44,1.43,-51.94,f,,Jon Van Arragon,1247,,
