organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,15.00,18.00,37.3,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,36.00,39.00,25.8,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,39.00,42.00,25.1,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,339.00,342.00,31.4,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,345.00,348.00,46.4,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Cercotrichas quadrivirgata,,,345.00,348.00,29.2,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,348.00,351.00,32.5,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,354.00,357.00,27.0,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Cyphorhinus thoracicus,,,453.00,456.00,35.1,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Zoothera aurea,White's Thrush,WHTH,453.00,456.00,25.8,t,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Zoothera aurea,White's Thrush,WHTH,471.00,474.00,25.1,t,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,573.00,576.00,26.7,f,lite
PC,AKAMINA-90,214835,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:04:05,305788,600,Turdus cardis,,,591.00,594.00,30.2,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,0.00,3.00,55.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,0.00,3.00,70.3,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,3.00,6.00,44.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,3.00,6.00,70.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Rupicola peruvianus,,,6.00,9.00,30.2,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,6.00,9.00,51.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,9.00,12.00,53.9,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,9.00,12.00,25.7,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,12.00,15.00,28.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Ocyceros gingalensis,,,15.00,18.00,27.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Melanerpes formicivorus,Acorn Woodpecker,ACWO,15.00,18.00,30.2,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Callocephalon fimbriatum,,,15.00,18.00,51.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Quiscalus quiscula,Common Grackle,COGR,21.00,24.00,25.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Clibanornis rectirostris,,,21.00,24.00,28.7,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Coracias benghalensis,,,21.00,24.00,28.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Primolius auricollis,,,24.00,27.00,29.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,24.00,27.00,38.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,24.00,27.00,74.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,24.00,27.00,35.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,27.00,30.00,49.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,27.00,30.00,49.9,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,27.00,30.00,40.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,30.00,33.00,54.9,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,30.00,33.00,26.5,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,33.00,36.00,25.2,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Elanus axillaris,,,39.00,42.00,40.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,45.00,48.00,50.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,45.00,48.00,42.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Ramphastos dicolorus,,,45.00,48.00,36.2,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Ramphastos dicolorus,,,48.00,51.00,39.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Cercomacra cinerascens,,,48.00,51.00,26.1,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,51.00,54.00,31.0,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Cyanopica cooki,,,51.00,54.00,25.5,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,51.00,54.00,33.7,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,51.00,54.00,35.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,54.00,57.00,75.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,54.00,57.00,25.4,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,54.00,57.00,70.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,57.00,60.00,28.2,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,57.00,60.00,52.3,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Primolius auricollis,,,57.00,60.00,46.4,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Tyto novaehollandiae,,,60.00,63.00,34.9,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Garrulus lanceolatus,,,60.00,63.00,46.3,f,lite
