organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,CARDSTON-GATE-SOUTH-150,214817,,2021-06-01 05:22:40,367495,600s 1SPT,Transcribed,3km,11.90,26.10,19.00,,,0.00,,WATERTON PARK GATE,1289.00m,3km,,,,,,,,,,,,,,,,-11.88,-44.14,2,-0.000032,-0.607605,0.640808,-3.87,-11.53,-43.13,2,-0.000032,-0.866791,0.999969,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344708,CARDSTON-GATE-SOUTH-150_20210601_052240.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,CARDSTON-GATE-SOUTH-151,214815,,2021-06-01 06:05:10,367496,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-11.36,-30.54,28,-0.000153,-1,0.999969,0,-6.02,-29.66,149,-0.000155,-1,0.999969,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344709,CARDSTON-GATE-SOUTH-151_20210601_060510.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,CARDSTON-GATE-SOUTH-152,214814,,2021-06-02 04:56:40,367497,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-16.85,-29.86,2,-0.000095,-0.465912,0.520142,-5.68,-10.26,-28.57,2,-0.000095,-1,0.838043,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344710,CARDSTON-GATE-SOUTH-152_20210602_045640.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,CARDSTON-GATE-SOUTH-153,214813,,2021-06-02 05:26:25,367500,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-16.73,-29.94,2,-0.000132,-0.630493,0.876526,-1.14,-13.02,-29.52,2,-0.000132,-0.999969,0.793365,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344713,CARDSTON-GATE-SOUTH-153_20210602_052625.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,CARDSTON-GATE-SOUTH-154,214811,,2021-06-02 05:56:05,367499,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-13.07,-38.04,2,-0.00006,-0.680206,0.712708,-2.94,-10.37,-37.35,2,-0.00006,-1,0.957947,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344712,CARDSTON-GATE-SOUTH-154_20210602_055605.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,ESKERINE-119,214788,,2022-06-01 05:07:59,367508,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-5.81,-37.45,2,-0.000076,-0.999939,0.935669,0,-14.63,-40.32,2,-0.000079,-0.38858,0.384735,-8.21,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344721,ESKERINE-119_20220601_050759.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,ESKERINE-118,214790,,2022-06-01 05:39:24,367509,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-7.02,-43.99,2,-0.000026,-0.649231,0.999969,0,-18.05,-47.47,2,-0.000033,-0.225861,0.302246,-10.39,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344722,ESKERINE-118_20220601_053924.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,ESKERINE-113,214793,,2022-06-01 07:55:00,367504,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-6.07,-36.8,2,-0.000116,-0.926483,0.792572,-0.66,-11.95,-40.89,2,-0.000126,-1,0.955597,0,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344717,ESKERINE-113_20220601_075500.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,ESKERINE-112,214795,,2022-06-01 08:27:10,367502,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-9.73,-53.51,2,-0.00002,-1,0.819153,0,-14.8,-57.68,2,-0.000018,-0.495209,0.415955,-6.1,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344715,ESKERINE-112_20220601_082710.wav,1211
PC,Waterton Lakes National Park - EI Songbird Monitoring 2022,1113,ESKERINE-111,214797,,2022-06-01 09:00:50,367501,600s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-6.96,-37.92,2,-0.000104,-0.914703,0.999969,0,-13.42,-42.47,2,-0.000088,-0.379822,0.417053,-7.6,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=344714,ESKERINE-111_20220601_090050.wav,1211
