organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Zoothera lunulata,,,9.00,12.00,32.2,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Turdus viscivorus,Mistle Thrush,MITH,9.00,12.00,35.3,t,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Turdus cardis,,,9.00,12.00,29.6,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Cyphorhinus thoracicus,,,48.00,51.00,33.0,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Cyphorhinus thoracicus,,,54.00,57.00,32.2,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Catharus fuscater,Slaty-backed Nightingale-Thrush,SBNT,123.00,126.00,32.0,t,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-07 05:11:00,354561,180,Platysteira cyanea,,,123.00,126.00,27.8,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-09 22:40:00,354568,180,*NOT GENERATED/FOUND*,,,,,,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Cyphorhinus thoracicus,,,3.00,6.00,45.2,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Pericrocotus ethologus,,,6.00,9.00,25.7,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Hylophilus flavipes,Scrub Greenlet,SCRG,9.00,12.00,45.7,t,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Turdus cardis,,,36.00,39.00,28.1,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Cyphorhinus thoracicus,,,42.00,45.00,29.4,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Zoothera aurea,White's Thrush,WHTH,42.00,45.00,36.5,t,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Cyphorhinus thoracicus,,,48.00,51.00,28.2,f,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Zoothera aurea,White's Thrush,WHTH,48.00,51.00,26.9,t,lite
PC,WLNP-AQP-2,238274,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,2021-07-13 05:16:00,354575,180,Sitta tephronota,Eastern Rock Nuthatch,SITTEP,54.00,57.00,49.9,t,lite
