organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,2,2693553,1,Song,17.33,1.98,-58.4,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,UNDU,Unidentified Duck,"",1,2693549,1,Non-vocal,142.80,5.24,-37.41,f,,Alana Demko,532,splashing and wingbeats,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,2693552,1,Song,0.70,1.88,-69.13,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,1,2693551,1,Song,0.03,0.90,-63.84,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,SPSA,Spotted Sandpiper,ACTITIS MACULARIUS,1,2693554,1,Song,1.65,2.14,-62.98,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2693550,1,Song,0.91,2.14,-62.87,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354561,2021-07-07 05:11:00,331426,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,2,2693555,1,Call,11.58,0.63,-32.39,f,,Alana Demko,532,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354568,2021-07-09 22:40:00,331433,Transcribed,180s,1SPT,NONE,NONE,"",,,,,,,,,,Alana Demko,532,,high-frequency insect noise
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,2,2689271,1,Song,4.16,2.93,-48.81,t,3,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,HETH,Hermit Thrush,CATHARUS GUTTATUS,1,2689273,1,Song,7.15,1.91,-37.71,f,,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,AMRO,American Robin,TURDUS MIGRATORIUS,1,2689274,1,Song,13.85,3.73,-57.38,f,,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,WISN,Wilson's Snipe,GALLINAGO DELICATA,1,2689277,1,Song,16.46,2.81,-58.14,f,,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,3,2689278,1,Song,44.09,2.44,-62.19,t,2,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,UNBI,Unidentified bird,"",1,2689280,1,Call,87.66,1.20,-27.73,f,,Marcus Sommers,1224,,
PC,862,WLNP-AQP-2,238274,,-114.049994,49.054267,,,354575,2021-07-13 05:16:00,331440,Transcribed,180s,1SPT,SPSA,Spotted Sandpiper,ACTITIS MACULARIUS,1,2689275,1,Call,8.45,3.08,-31.75,f,,Marcus Sommers,1224,,
