organization,project,project_id,location,location_id,location_buffer_m,recording_date_time,recording_id,method,aru_task_status,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation,hourly_visibility_km,hourly_station_pressure,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,date_deployed,date_retrieved,land_features,equipment,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,task_url,source_file_name,observer_id
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-3,238275,,2021-06-28 07:04:00,354546,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-21.41,-42.91,2,0.014167,-0.127319,0.114349,-17.9,-22.04,-44.31,2,0.010181,-0.10025,0.107819,-19.35,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331411,WLNP-AQP-3_20210628_070400.wav,1224
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-6,238276,,2021-06-28 08:04:00,354476,180s 1SPT,Transcribed,16km,12.40,33.70,23.00,,,0.00,,WATERTON PARK GATE,1289.00m,16km,,,,,,,,,,,,,,,,-34.42,-36.41,2,0.013762,-0.039886,0.062408,-24.1,-28.47,-29.47,2,0.034018,-0.025055,0.08728,-21.18,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331341,WLNP-AQP-6_20210628_080400.wav,1247
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-7,238277,,2021-06-28 08:04:00,354472,180s 1SPT,Transcribed,21km,12.40,33.70,23.00,,,0.00,,WATERTON PARK GATE,1289.00m,21km,,,,,,,,,,,,,,,,-28.13,-33.3,2,0.023388,-0.089478,0.13974,-17.09,-28.09,-32.5,2,0.025132,-0.062958,0.111572,-19.05,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331337,WLNP-AQP-7_20210628_080400.wav,532
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-3,238275,,2021-06-29 08:05:00,354572,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-25.09,-40.99,2,0.014225,-0.102081,0.089386,-19.82,-26.54,-43.52,2,0.010188,-0.061157,0.098145,-20.16,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331437,WLNP-AQP-3_20210629_080500.wav,1224
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-6,238276,,2021-06-29 21:44:00,354523,180s 1SPT,Transcribed,16km,12.00,33.40,22.70,,,0.00,,WATERTON PARK GATE,1289.00m,16km,,,,,,,,,,,,,,,,-31.66,-37.58,3,0.013813,-0.038391,0.063904,-23.89,-27.79,-29.96,2,0.034174,-0.030487,0.093811,-20.55,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331388,WLNP-AQP-6_20210629_214400.wav,1269
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-3,238275,,2021-06-30 04:05:00,354469,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-36.02,-37.75,2,0.013925,-0.00415,0.032623,-29.73,-37.94,-40.47,2,0.010117,-0.010193,0.031799,-29.95,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331334,WLNP-AQP-3_20210630_040500.wav,660
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-7,238277,,2021-06-30 21:44:00,354516,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-30.44,-35.63,2,0.023269,-0.019592,0.059906,-24.45,-25.14,-36.71,2,0.025027,-0.049866,0.092224,-20.7,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331381,WLNP-AQP-7_20210630_214400.wav,1269
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-6,238276,,2021-07-01 06:06:00,354581,180s 1SPT,Transcribed,16km,6.20,34.40,20.30,,,0.00,,WATERTON PARK GATE,1289.00m,16km,,,,,,,,,,,,,,,,-34.98,-36.7,3,0.013807,-0.02951,0.057892,-24.75,-28.68,-29.69,2,0.033859,-0.015198,0.084564,-21.46,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331446,WLNP-AQP-6_20210701_060600.wav,660
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-3,238275,,2021-07-01 08:06:00,354517,180s 1SPT,Transcribed,24km,6.20,34.40,20.30,,,0.00,,WATERTON PARK GATE,1289.00m,24km,,,,,,,,,,,,,,,,-23.14,-45.33,2,0.014115,-0.098267,0.10437,-19.63,-20.59,-46.77,2,0.010148,-0.132599,0.151093,-16.42,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331382,WLNP-AQP-3_20210701_080600.wav,1269
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-7,238277,,2021-07-02 06:06:00,354484,180s 1SPT,Transcribed,"",,,,,,,,No daily weather within 165km,"","",,,,,,,,,,,,,,,,-17.86,-37.63,2,0.023241,-0.222229,0.222198,-13.06,-11.65,-39.82,2,0.025144,-0.562408,0.44043,-5,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331349,WLNP-AQP-7_20210702_060600.wav,1224
