organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,0.03,180.00,0.90,2.33kHz,6.54kHz,2693551,1,Song,1,,f,2,Alana Demko,532,,-29.34,-30.01,2,0.030718,-0.007161,0.038399,-28.31,-63.84,-69.12,2,0,-0.009822,0.011272,-38.96,-33.11,-33.6,2,0.020186,-0.006299,0.02673,-31.46,-64.52,-70.74,2,0,-0.007704,0.008891,-41.02,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/65709550fe18401da34b4f8f59c890d0.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/65709550fe18401da34b4f8f59c890d0.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,0.70,180.00,1.88,3.36kHz,6.30kHz,2693552,1,Song,1,,f,1,Alana Demko,532,,-29.55,-29.96,2,0.031747,-0.007136,0.03843,-28.31,-69.13,-72.5,2,0,-0.001151,0.001182,-58.55,-33.16,-33.67,2,0.020851,-0.004112,0.026165,-31.65,-70.53,-73.2,2,0,-0.001111,0.001018,-59.08,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/1774887da26a4cc5ae12f21cfd3e8f9e.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/1774887da26a4cc5ae12f21cfd3e8f9e.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,0.91,180.00,2.14,1.26kHz,3.92kHz,2693550,1,Song,1,,f,2,Alana Demko,532,,-29.54,-29.95,2,0.031887,-0.007324,0.038569,-28.28,-62.87,-70.87,2,0,-0.002717,0.002427,-51.32,-33.17,-33.7,2,0.020901,-0.004928,0.025865,-31.75,-64.76,-72.77,2,0,-0.001861,0.001869,-54.57,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/d746aa5278534633bb98c7cd5649cea4.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/d746aa5278534633bb98c7cd5649cea4.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,SPSA,Spotted Sandpiper,ACTITIS MACULARIUS,Aves,1.65,180.00,2.14,1.96kHz,4.20kHz,2693554,1,Song,1,,f,1,Alana Demko,532,,-29.51,-30.05,2,0.031602,-0.006872,0.037877,-28.43,-62.98,-71.37,2,0,-0.002151,0.002061,-53.35,-33.17,-33.68,2,0.02068,-0.004887,0.025901,-31.73,-65.02,-72.81,2,0,-0.001947,0.001983,-54.05,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/d024a49440aa459db6a997ab96e1540e.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/d024a49440aa459db6a997ab96e1540e.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,11.58,180.00,0.63,0.05kHz,2.47kHz,2693555,2,Call,1,,f,1,Alana Demko,532,,-29.43,-29.99,2,0.029279,-0.007308,0.039047,-28.17,-32.39,-32.95,2,-0.019914,-0.026469,0.005178,-31.55,-33.32,-33.65,2,0.019028,-0.004751,0.025263,-31.95,-36.27,-36.71,2,-0.012953,-0.017614,0.003331,-35.08,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/aab93270e84a4f74a15477015afddcb6.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/aab93270e84a4f74a15477015afddcb6.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,17.33,180.00,1.98,1.82kHz,6.02kHz,2693553,2,Song,1,,f,1,Alana Demko,532,,-29.37,-30.14,2,0.031582,-0.007429,0.039005,-28.18,-58.4,-69.06,2,0,-0.003123,0.00316,-50.01,-32.85,-33.93,2,0.020653,-0.0047,0.026587,-31.51,-61.84,-70.68,2,0,-0.002321,0.002059,-52.69,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/bf21b15445264c17b37b33597dba57d4.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/bf21b15445264c17b37b33597dba57d4.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-07 05:11:00,354561,1SPT,331426,Transcribed,UNDU,Unidentified Duck,"",Aves,142.80,180.00,5.24,0.14kHz,1.82kHz,2693549,1,Non-vocal,1,,f,1,Alana Demko,532,,-28.28,-31.23,2,0.032214,-0.006622,0.049179,-26.16,-37.41,-40.36,2,-0.011189,-0.018765,0.00264,-34.53,-32.93,-34.11,2,0.020882,-0.005142,0.031468,-30.04,-42.03,-43.26,2,-0.007247,-0.011823,0.002135,-38.55,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331426,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/2a2290a5d6c248529959baa8c20f0333.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/5c7b19f6-a530-4cd7-8774-5f0ab8708fb0/2a2290a5d6c248529959baa8c20f0333.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-13 05:16:00,354575,1SPT,331440,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,1.03,180.00,2.78,1.31kHz,6.16kHz,2689272,1,Song,1,2,t,1,Marcus Sommers,1224,15,-25.97,-31.91,2,0.031848,-0.007604,0.062376,-24.1,-60.84,-70.75,2,0,-0.002595,0.002641,-51.57,-32.15,-34.45,2,0.020788,-0.006185,0.031393,-30.06,-64.41,-71.68,2,0,-0.00258,0.002257,-51.77,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331440,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/658ae0c6fff64223be490937bd6e7e4a.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/658ae0c6fff64223be490937bd6e7e4a.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-13 05:16:00,354575,1SPT,331440,Transcribed,WCSP,White-crowned Sparrow,ZONOTRICHIA LEUCOPHRYS,Aves,4.16,180.00,2.93,1.49kHz,6.49kHz,2689271,2,Song,1,3,t,1,Marcus Sommers,1224,15,-24.69,-31.8,2,0.032116,-0.069227,0.091938,-20.73,-48.81,-69.8,2,0,-0.007719,0.007561,-42.25,-31.6,-35.39,2,0.020866,-0.005545,0.032885,-29.66,-54.11,-71.05,2,0,-0.0063,0.006032,-44.01,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331440,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/14ad4ed14a0d414e840cdd0501bc1a92.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/14ad4ed14a0d414e840cdd0501bc1a92.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-13 05:16:00,354575,1SPT,331440,Transcribed,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,7.15,180.00,1.91,1.35kHz,5.74kHz,2689273,1,Song,1,,f,1,Marcus Sommers,1224,,-24.46,-31.77,2,0.03208,-0.03038,0.091153,-20.8,-37.71,-69.1,2,0,-0.034783,0.034888,-29.15,-30.96,-35.11,2,0.020778,-0.008474,0.044369,-27.06,-40.68,-70.91,2,0,-0.023409,0.023758,-32.48,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331440,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/ed579559c66644b8a969c4abbc127a09.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/ed579559c66644b8a969c4abbc127a09.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-13 05:16:00,354575,1SPT,331440,Transcribed,SPSA,Spotted Sandpiper,ACTITIS MACULARIUS,Aves,8.45,180.00,3.08,0.79kHz,10.79kHz,2689275,1,Call,1,,f,1,Marcus Sommers,1224,,-22.76,-32.82,2,0.031691,-0.048828,0.129982,-17.72,-31.75,-65.81,2,0,-0.064046,0.062752,-23.87,-31.3,-34.29,2,0.021078,-0.025366,0.068409,-23.3,-36.75,-66.17,2,0,-0.044418,0.044561,-27.02,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331440,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/fe9c3e36e4e94dcabcbbb62c752c5bf7.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/fe9c3e36e4e94dcabcbbb62c752c5bf7.mp3
PC,Waterton Lakes National Park Aquatic Conservation and Restoration ARU Pilot Program 2021,862,WLNP-AQP-2,238274,2021-07-13 05:16:00,354575,1SPT,331440,Transcribed,AMRO,American Robin,TURDUS MIGRATORIUS,Aves,13.85,180.00,3.73,1.07kHz,4.53kHz,2689274,1,Song,1,,f,1,Marcus Sommers,1224,,-19.24,-31.58,2,0.032218,-0.080031,0.168292,-15.48,-57.38,-70.21,2,0,-0.006132,0.006182,-44.18,-30.82,-36.23,2,0.020834,-0.005703,0.040133,-27.93,-58.7,-70.6,2,0,-0.004323,0.004547,-46.85,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=331440,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/be175e0ff75b4492b1160347c1b6a3fa.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/4a675e27-61e4-41c5-994b-830b0c6585b0/be175e0ff75b4492b1160347c1b6a3fa.mp3
